,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
0,2019-04-12 19:48:00,2019-04-13 15:42:00,2019-04-12 16:48:00,2019-04-13 16:15:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T1,191010,B01,LIQUID,CHEMICAL,ACETIC ACID,19.9,23.45,IMPORT,1900.198,0.02,0.002,0.0,2.53,0.0,2291.7,WEST,20548.0,HANDYSIZE,KERTEH,MUNDRA PORT,HAZIRA,KANDLA PORT,MT NAEBA GALAXY
1,2019-04-12 19:48:00,2019-04-13 15:42:00,2019-04-12 16:48:00,2019-04-13 16:15:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T1,191010,B01,LIQUID,CHEMICAL,ACETIC ACID,0.0,0.0,IMPORT,3750.494,0.04,0.004,0.0,0.0,0.0,4523.21,WEST,20548.0,HANDYSIZE,KERTEH,MUNDRA PORT,HAZIRA,KANDLA PORT,MT NAEBA GALAXY
3,2019-05-01 16:05:00,2019-05-02 04:18:00,2019-05-01 15:35:00,2019-05-02 04:45:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191192,B01,LIQUID,CHEMICAL,ACETIC ACID,12.22,13.17,IMPORT,999.467,0.01,0.001,0.0,0.0,0.0,1963.48,WEST,13100.0,HANDYSIZE,SINGAPORE,MUNDRA PORT,HAZIRA,BY ORDER,MT SC TAIPEI
5,2019-05-10 05:30:00,2019-05-10 15:18:00,2019-05-09 23:24:00,2019-05-10 15:45:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191259,B01,LIQUID,CHEMICAL,ACETIC ACID,9.8,16.35,IMPORT,1000.0,0.01,0.001,0.0,5.6,0.0,2448.98,WEST,16558.0,HANDYSIZE,JINGTANG,MUNDRA PORT,KANDLA PORT,FUJAIRAH,MT NAVIG8 SAIPH
49,2019-10-07 22:25:00,2019-10-08 17:38:00,2019-10-07 21:00:00,2019-10-08 18:01:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192549,B01,LIQUID,CHEMICAL,ACETIC ACID,19.22,21.02,IMPORT,3800.11,0.04,0.004,0.0,0.0,0.92,4746.02,WEST,15292.0,HANDYSIZE,KERTEH,MUNDRA PORT,HAZIRA,KANDLA,MT NAVIG8 SOL
129,2019-07-16 06:06:00,2019-07-16 19:25:00,2019-07-16 05:24:00,2019-07-16 20:03:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191765,B02,LIQUID,CHEMICAL,ACETIC ACID,13.32,14.65,IMPORT,1900.046,0.02,0.002,0.0,0.0,0.0,3424.36,WEST,18328.0,HANDY MAX,KERTEH,MUNDRA PORT,HAZIRA,KANDLA PORT,MT CHEM PATRIOT
187,2020-01-06 00:05:00,2020-01-06 11:20:00,2020-01-05 04:05:00,2020-01-06 11:50:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200166,B02,LIQUID,CHEMICAL,ACETIC ACID,11.25,31.75,IMPORT,1049.922,0.01,0.001,0.0,18.92,0.48,2239.83,WEST,12902.0,HANDYSIZE,SINGAPORE,MUNDRA PORT,HAZIRA,SHARJAH,MT SC BRILLIANT
203,2019-10-20 22:24:00,2019-10-21 10:12:00,2019-10-20 21:20:00,2019-10-21 10:40:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192626,B02,LIQUID,CHEMICAL,ACETIC ACID,11.8,13.33,IMPORT,1500.047,0.02,0.002,0.0,0.0,0.27,3050.94,WEST,12225.0,HANDYSIZE,KERTEH,MUNDRA PORT,HAZIRA,KANDLA PORT,MT CTG ARGON
233,2019-05-30 08:48:00,2019-05-31 00:29:00,2019-05-30 08:00:00,2019-05-31 00:53:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191454,B03,LIQUID,CHEMICAL,ACETIC ACID,15.68,16.88,IMPORT,2040.227,0.02,0.002,0.0,0.0,0.0,3122.13,WEST,15900.0,HANDYSIZE,NEW ORLEANS,MUNDRA PORT,MUMBAI PORT,KANDLA,MT FAIRCHEM KISO
314,2019-12-14 10:00:00,2019-12-14 22:40:00,2019-12-14 09:35:00,2019-12-14 23:03:00,Dec 2019,H2,2019-20,MUNDRA,LQD,T1,193138,B03,LIQUID,CHEMICAL,ACETIC ACID,12.67,13.47,IMPORT,2099.58,0.02,0.002,0.0,0.0,0.0,3978.15,WEST,,HANDYSIZE,SINGAPORE,MUNDRA PORT,KANDLA,HAZIRA,MT SEA  ELEGANT
