,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
222,2019-04-12 13:12:00,2019-04-13 14:36:00,2019-04-12 11:00:00,2019-04-13 15:03:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T1,191006,B03,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,25.4,28.05,IMPORT,1039.836,0.01,0.001,0.0,1.7,0.0,982.52,WEST,11870.0,HANDYSIZE,,MUNDRA PORT,MESAIEED,MUMBAI PORT,MT ASAVARI
245,2019-05-18 00:01:00,2019-05-19 00:22:00,2019-05-17 23:18:00,2019-05-19 00:39:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191351,B03,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,24.35,25.35,IMPORT,520.316,0.01,0.001,0.0,0.0,0.0,512.84,WEST,10985.0,HANDYSIZE,MESAIEED,MUNDRA PORT,MESAIEED,HAZIRA,MT ASAVARI
277,2019-08-29 13:48:00,2019-08-30 13:06:00,2019-08-29 12:30:00,2019-08-30 13:35:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192201,B03,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,23.3,25.08,IMPORT,1047.859,0.01,0.001,0.0,0.0,0.72,1079.34,WEST,10592.0,HANDYSIZE,MESAIEED,MUNDRA PORT,HAZIRA,PORT QASIM,MT BHAIRAVI
387,2019-06-21 04:48:00,2019-06-22 11:15:00,2019-06-21 04:12:00,2019-06-22 11:45:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191633,B04,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,30.45,31.55,IMPORT,522.175,0.01,0.001,0.0,0.0,0.0,411.57,WEST,15216.4,HANDYSIZE,MESAIEED,MUNDRA PORT,FUJAIRAH,SIKA,MT SG FRIENDSHIP
388,2019-06-21 04:48:00,2019-06-22 11:15:00,2019-06-21 04:12:00,2019-06-22 11:45:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191633,B04,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,522.166,0.01,0.001,0.0,0.0,0.0,411.56,WEST,15216.4,HANDYSIZE,MESAIEED,MUNDRA PORT,FUJAIRAH,SIKA,MT SG FRIENDSHIP
455,2020-01-17 07:42:00,2020-01-18 09:45:00,2020-01-17 03:50:00,2020-01-18 10:15:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200265,B04,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,1043.225,0.01,0.001,0.0,0.0,0.0,961.13,WEST,11190.0,HANDY MAX,MESAIEED,MUNDRA PORT,MESAIEED,KANDLA,MT FMT EFES
462,2020-01-08 16:24:00,2020-01-09 13:10:00,2020-01-08 15:30:00,2020-01-09 13:37:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200170,B04,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,1018.18,0.01,0.001,0.0,0.0,0.0,1176.71,WEST,28873.0,HANDY MAX,HOUSTON,MUNDRA PORT,MUMBAI PORT,KANDLA,MT STOLT SNELAND
483,2019-11-16 11:50:00,2019-11-17 10:24:00,2019-11-16 11:18:00,2019-11-17 10:55:00,Nov 2019,H2,2019-20,MUNDRA,LQD,T1,192893,B04,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,523.773,0.01,0.001,0.0,0.0,0.0,557.04,WEST,6800.31,HANDYSIZE,MESAIEED,MUNDRA PORT,SOHAR,MUMBAI PORT,MT BHAIRAVI
484,2019-11-16 11:50:00,2019-11-17 10:24:00,2019-11-16 11:18:00,2019-11-17 10:55:00,Nov 2019,H2,2019-20,MUNDRA,LQD,T1,192893,B04,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,523.773,0.01,0.001,0.0,0.0,0.0,557.04,WEST,6800.31,HANDYSIZE,MESAIEED,MUNDRA PORT,SOHAR,MUMBAI PORT,MT BHAIRAVI
487,2019-10-25 06:00:00,2019-10-25 22:40:00,2019-10-25 04:15:00,2019-10-25 23:15:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192685,B04,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,16.67,19.0,IMPORT,985.35,0.01,0.001,0.0,0.0,1.25,1418.9,WEST,10714.0,HANDYSIZE,MESAIEED,MUNDRA PORT,RATNAGIRI,SIKA,MT CELSIUS MESSINA
622,2019-12-18 18:12:00,2019-12-19 22:48:00,2019-12-18 17:30:00,2019-12-19 23:20:00,Dec 2019,H2,2019-20,MUNDRA,LQD,T2,193175,B05,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,28.6,29.83,IMPORT,1049.39,0.01,0.001,0.0,0.0,0.0,880.61,WEST,9043.49,HANDYSIZE,MESAIEED,MUNDRA PORT,MESAIEED,HAZIRA,MT BHAIRAVI
623,2019-12-18 18:12:00,2019-12-19 22:48:00,2019-12-18 17:30:00,2019-12-19 23:20:00,Dec 2019,H2,2019-20,MUNDRA,LQD,T2,193175,B05,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,1049.39,0.01,0.001,0.0,0.0,0.0,880.61,WEST,9043.49,HANDYSIZE,MESAIEED,MUNDRA PORT,MESAIEED,HAZIRA,MT BHAIRAVI
739,2020-02-22 22:06:00,2020-02-23 20:08:00,2020-02-22 21:30:00,2020-02-23 20:33:00,Feb 2020,H2,2019-20,MUNDRA,LQD,T2,200609,B05,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,22.03,23.05,IMPORT,478.0,0.0,0.0,0.0,0.0,0.0,520.67,WEST,,HANDY MAX,MESAIEED,MUNDRA PORT,MESAIEED,HAZIRA,MT FMT EFES
740,2020-02-22 22:06:00,2020-02-23 20:08:00,2020-02-22 21:30:00,2020-02-23 20:33:00,Feb 2020,H2,2019-20,MUNDRA,LQD,T2,200609,B05,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,956.806,0.01,0.001,0.0,0.0,0.0,1042.21,WEST,,HANDY MAX,MESAIEED,MUNDRA PORT,MESAIEED,HAZIRA,MT FMT EFES
741,2020-02-22 22:06:00,2020-02-23 20:08:00,2020-02-22 21:30:00,2020-02-23 20:33:00,Feb 2020,H2,2019-20,MUNDRA,LQD,T2,200609,B05,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,478.0,0.0,0.0,0.0,0.0,0.0,520.67,WEST,,HANDY MAX,MESAIEED,MUNDRA PORT,MESAIEED,HAZIRA,MT FMT EFES
858,2019-09-24 00:24:00,2019-09-24 20:15:00,2019-09-23 23:48:00,2019-09-24 20:45:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T2,192427,B06,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,19.85,20.95,IMPORT,492.103,0.0,0.0,0.0,0.0,0.0,594.99,WEST,12131.0,HANDYSIZE,MESAIEED,MUNDRA PORT,HAZIRA,SIKA,MT CELSIUS MESSINA
859,2019-09-24 00:24:00,2019-09-24 20:15:00,2019-09-23 23:48:00,2019-09-24 20:45:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T2,192427,B06,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,492.104,0.0,0.0,0.0,0.0,0.0,594.99,WEST,12131.0,HANDYSIZE,MESAIEED,MUNDRA PORT,HAZIRA,SIKA,MT CELSIUS MESSINA
874,2019-07-10 07:24:00,2019-07-11 11:15:00,2019-07-10 06:54:00,2019-07-11 11:45:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T2,191797,B07,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,27.85,28.85,IMPORT,1049.238,0.01,0.001,0.0,0.0,0.0,904.19,WEST,6287.755,HANDYSIZE,MESAIEED,MUNDRA PORT,MESAIEED,SIKA,MT MALHARI
875,2019-07-10 07:24:00,2019-07-11 11:15:00,2019-07-10 06:54:00,2019-07-11 11:45:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T2,191797,B07,LIQUID,PETROLEUM WHITE OIL,ALPHAPLUS C-20/24,0.0,0.0,IMPORT,521.037,0.01,0.001,0.0,0.0,0.0,449.01,WEST,6287.755,HANDYSIZE,MESAIEED,MUNDRA PORT,MESAIEED,SIKA,MT MALHARI
