,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
510,2019-05-01 16:48:00,2019-05-02 04:54:00,2019-05-01 12:10:00,2019-05-02 05:27:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191189,B05,DRY,MINES AND MINERAL,BENTONITE IN BULK,12.1,17.28,EXPORT,2500.0,0.03,0.003,0.0,3.65,0.0,4958.68,WEST,,HANDYSIZE,MUNDRA PORT,DHARAMTAR,DHARAMTAR,BY ORDER,MV NEERJA
772,2019-06-22 22:18:00,2019-06-24 08:15:00,2019-06-22 14:45:00,2019-06-24 08:51:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T2,191673,B06,DRY,MINES AND MINERAL,BENTONITE IN BULK,33.95,42.1,EXPORT,14930.0,0.15,0.015,0.0,6.85,0.0,10554.34,WEST,12633.6,HANDYSIZE,MUNDRA PORT,LEGHORN,DAHEJ,BAHRAIN,MV HA LONG BAY
773,2019-06-24 10:00:00,2019-06-25 12:46:00,2019-06-24 08:54:00,2019-06-25 13:23:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T2,191679,B06,DRY,MINES AND MINERAL,BENTONITE IN BULK,26.77,28.48,EXPORT,16200.0,0.16,0.016,0.0,0.0,0.0,14525.53,WEST,17223.0,PANAMAX VESSEL,MUNDRA PORT,GDANSK,UMM AL QWAIN,GDANSK,MV SUNRISE JADE
789,2019-05-06 01:54:00,2019-05-10 15:54:00,2019-05-05 09:36:00,2019-05-10 16:35:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191230,B06,DRY,MINES AND MINERAL,BENTONITE IN BULK,110.0,126.98,EXPORT,71960.0,0.72,0.072,0.0,15.5,0.0,15700.36,WEST,20749.0,PANAMAX VESSEL,MUNDRA PORT, CHORNOMORSK,KANDLA, CHORNOMORSK,MV LILA TOKYO
792,2019-04-15 16:06:00,2019-04-18 11:05:00,2019-04-15 10:30:00,2019-04-18 11:45:00,Apr 2019,H1,2019-20,MUNDRA,DRY,T2,191049,B06,DRY,MINES AND MINERAL,BENTONITE IN BULK,66.98,73.25,EXPORT,74910.0,0.75,0.075,0.0,4.75,0.0,26840.11,WEST,25916.0,PANAMAX VESSEL,MUNDRA PORT,,TUTICORIN,YUZHNNY,MV BETEIGEUZE
795,2019-03-31 15:45:00,2019-04-02 04:42:00,2019-03-31 14:55:00,2019-04-02 05:15:00,Apr 2019,H1,2019-20,MUNDRA,DRY,T2,190901,B06,DRY,MINES AND MINERAL,BENTONITE IN BULK,36.95,38.33,EXPORT,16000.0,0.16,0.016,0.0,0.0,0.0,10392.42,WEST,,HANDYSIZE,MUNDRA PORT,PENANG,KANDLA,PENANG,MV UNITY
1068,2019-04-08 15:10:00,2019-04-18 23:50:00,2019-04-08 14:30:00,2019-04-19 00:20:00,Apr 2019,H1,2019-20,MUNDRA,DRY,T2,190983,B08,DRY,MINES AND MINERAL,BENTONITE IN BULK,248.67,249.83,EXPORT,22500.0,0.23,0.023,0.0,0.0,0.0,2171.58,WEST,24838.0,HANDYSIZE,POSO,MUNDRA PORT,DAHEJ,BELAWAN,MV TAN BINH 59
1100,2019-04-30 13:02:00,2019-05-02 12:49:00,2019-04-29 21:25:00,2019-05-02 13:15:00,May 2019,H1,2019-20,MUNDRA,DRY,T3,191191,B09,DRY,MINES AND MINERAL,BENTONITE IN BULK,47.78,63.83,EXPORT,9450.0,0.09,0.009,0.0,15.08,0.0,4746.42,WEST,1448.0,HANDYSIZE,MUNDRA PORT,DAMMAM,BANDAR IMAM KHOMENI,DAMMAM,MV KENGTUNG
1101,2019-04-30 13:02:00,2019-05-02 12:49:00,2019-04-29 21:25:00,2019-05-02 13:15:00,Apr 2019,H1,2019-20,MUNDRA,DRY,T3,191191,B09,DRY,MINES AND MINERAL,BENTONITE IN BULK,0.0,0.0,EXPORT,1300.0,0.01,0.001,0.0,0.0,0.0,652.95,WEST,1448.0,HANDYSIZE,MUNDRA PORT,DAMMAM,BANDAR IMAM KHOMENI,DAMMAM,MV KENGTUNG
1149,2019-07-18 03:12:00,2019-07-19 01:48:00,2019-07-18 01:30:00,2019-07-19 02:17:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T3,191871,B09,DRY,MINES AND MINERAL,BENTONITE IN BULK,22.6,24.78,EXPORT,16500.0,0.17,0.017,0.0,0.0,1.2,17522.12,WEST,11004.0,HANDY MAX,MUNDRA PORT,BURNIE,JAIGAD/JAIGARH,COLOMBO,MV CS CAPRICE
1194,2019-10-11 06:00:00,2019-10-14 03:08:00,2019-10-10 23:45:00,2019-10-14 03:39:00,Oct 2019,H2,2019-20,MUNDRA,DRY,T3,192576,B09,DRY,MINES AND MINERAL,BENTONITE IN BULK,69.13,75.9,EXPORT,72750.0,0.73,0.073,0.0,4.75,0.18,25255.54,WEST,21054.0,PANAMAX VESSEL,MUNDRA PORT, CHORNOMORSK,ENNORE PORT, CHORNOMORSK,MV EVOIKOS THEO
1214,2019-11-27 07:18:00,2019-11-29 16:32:00,2019-11-26 07:30:00,2019-11-29 17:00:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T3,193006,B09,DRY,MINES AND MINERAL,BENTONITE IN BULK,57.23,81.5,EXPORT,70850.0,0.71,0.071,0.0,22.5,0.08,29709.96,WEST,,PANAMAX VESSEL,MUNDRA PORT,YUZHNNY,HAZIRA,YUZHNNY,MV NS ZHOUSHAN
1331,2019-05-17 01:00:00,2019-05-18 02:12:00,2019-05-16 23:00:00,2019-05-18 02:39:00,May 2019,H1,2019-20,MUNDRA,DRY,T3,191315,B10,DRY,MINES AND MINERAL,BENTONITE IN BULK,25.2,27.65,EXPORT,2500.0,0.03,0.003,0.0,0.0,1.33,2380.95,WEST,,HANDYSIZE,MUNDRA PORT,DHARMATAR,DHARAMTAR,BY ORDER,MV KUMAR
1358,2020-02-09 20:48:00,2020-02-10 08:08:00,2020-02-09 20:00:00,2020-02-10 08:28:00,Feb 2020,H2,2019-20,MUNDRA,DRY,T3,200469,B10,DRY,MINES AND MINERAL,BENTONITE IN BULK,11.33,12.47,EXPORT,2101.0,0.02,0.002,0.0,0.0,0.33,4449.18,WEST,,HANDYSIZE,MUNDRA PORT,DHARAMTAR,HAZIRA,DHARMATAR,MV KANGNA
1414,2019-04-18 23:20:00,2019-04-19 10:32:00,2019-04-18 23:00:00,2019-04-19 10:55:00,Apr 2019,H1,2019-20,MUNDRA,DRY,T3,191070,B11,DRY,MINES AND MINERAL,BENTONITE IN BULK,11.2,11.92,EXPORT,2500.0,0.03,0.003,0.0,0.0,0.0,5357.14,WEST,,HANDYSIZE,MUNDRA PORT,DHARAMTAR,DHARAMTAR,DHARAMTAR,MV KUMAR
1418,2019-05-23 13:06:00,2019-05-24 03:10:00,2019-05-23 12:30:00,2019-05-24 03:33:00,May 2019,H1,2019-20,MUNDRA,DRY,T3,191403,B11,DRY,MINES AND MINERAL,BENTONITE IN BULK,14.07,15.05,EXPORT,2500.0,0.03,0.003,0.0,0.0,0.0,4265.4,WEST,,HANDYSIZE,MUNDRA PORT,DHARMATAR,REVDANDA,DHARAMTAR,MV VASAVADATTA
1446,2019-08-07 20:19:00,2019-08-13 21:18:00,2019-08-07 18:30:00,2019-08-13 21:51:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192051,B11,DRY,MINES AND MINERAL,BENTONITE IN BULK,144.98,147.35,EXPORT,10802.0,0.11,0.011,0.0,0.0,1.03,1788.12,WEST,15583.0,HANDYSIZE,MUNDRA PORT,JEBEL ALI,KANDLA,JEBEL ALI,MV ATHOS
1516,2020-01-15 19:40:00,2020-01-17 21:42:00,2020-01-15 13:30:00,2020-01-17 22:10:00,Jan 2020,H2,2019-20,MUNDRA,DRY,T3,200242,B11,DRY,MINES AND MINERAL,BENTONITE IN BULK,50.03,56.67,EXPORT,33000.0,0.33,0.033,0.0,5.5,0.0,15829.45,WEST,15112.0,HANDY MAX,MUNDRA PORT,BAHRAIN,NAVALAKHI,FUJAIRAH,MV JOSCO YANGZHOU
1521,2020-02-07 22:48:00,2020-02-08 19:05:00,2020-02-07 22:00:00,2020-02-08 19:35:00,Feb 2020,H2,2019-20,MUNDRA,DRY,T3,200432,B11,DRY,MINES AND MINERAL,BENTONITE IN BULK,20.28,21.58,EXPORT,16500.0,0.17,0.017,0.0,0.0,0.0,19523.42,WEST,8513.0,HANDYSIZE,MUNDRA PORT,ITAQUI/SAO LUIZ,SINGAPORE,BRAZIL,MV NORDIC BULKER 2
