,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
506,2019-04-09 04:20:00,2019-04-10 20:36:00,2019-04-09 03:48:00,2019-04-10 21:05:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T2,190986,B05,LIQUID,PETROLEUM BLACK OIL,BITUMEN,40.27,41.28,IMPORT,3598.235,0.04,0.004,0.0,0.0,0.0,2144.64,WEST,4059.57,HANDYSIZE,BASRA,MUNDRA PORT,BASRAH OIL TERMINAL,BASRAH OIL TERMINAL,MT REEM 3
507,2019-04-19 16:06:00,2019-04-21 06:08:00,2019-04-19 12:36:00,2019-04-21 06:43:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T2,191065,B05,LIQUID,PETROLEUM BLACK OIL,BITUMEN,38.03,42.12,IMPORT,3282.167,0.03,0.003,0.0,1.9,0.78,2071.13,WEST,,HANDYSIZE,KHOR AL ZUBIR,MUNDRA PORT LIMITED,KHOR AL ZUBIR,SHARJAH,MT ASPHALT ALLIANCE
508,2019-04-19 16:06:00,2019-04-21 06:08:00,2019-04-19 12:36:00,2019-04-21 06:43:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T2,191065,B05,LIQUID,PETROLEUM BLACK OIL,BITUMEN,0.0,0.0,IMPORT,600.0,0.01,0.001,0.0,0.0,0.0,378.62,WEST,,HANDYSIZE,KHOR AL ZUBIR,MUNDRA PORT LIMITED,KHOR AL ZUBIR,SHARJAH,MT ASPHALT ALLIANCE
509,2019-04-19 16:06:00,2019-04-21 06:08:00,2019-04-19 12:36:00,2019-04-21 06:43:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T2,191065,B05,LIQUID,PETROLEUM BLACK OIL,BITUMEN,0.0,0.0,IMPORT,300.0,0.0,0.0,0.0,0.0,0.0,189.31,WEST,,HANDYSIZE,KHOR AL ZUBIR,MUNDRA PORT LIMITED,KHOR AL ZUBIR,SHARJAH,MT ASPHALT ALLIANCE
520,2019-05-19 02:25:00,2019-05-20 20:36:00,2019-05-19 01:50:00,2019-05-20 21:05:00,May 2019,H1,2019-20,MUNDRA,LQD,T2,191383,B05,LIQUID,PETROLEUM BLACK OIL,BITUMEN,42.18,43.25,IMPORT,3611.888,0.04,0.004,0.0,0.0,0.0,2054.97,WEST,4059.57,HANDYSIZE,BASRA,MUNDRA PORT,BASRAH OIL TERMINAL,BASRAH OIL TERMINAL,MT REEM 3
521,2019-06-03 14:05:00,2019-06-05 11:12:00,2019-06-03 13:25:00,2019-06-05 11:41:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T2,191505,B05,LIQUID,PETROLEUM BLACK OIL,BITUMEN,45.12,46.27,IMPORT,5660.969,0.06,0.006,0.0,0.0,0.0,3011.38,WEST,6392.0,HANDYSIZE,BASRAH OIL TERMINAL,MUNDRA PORT,BASRAH OIL TERMINAL,IRAQ,MT GOLDEN LILY
524,2019-08-05 15:15:00,2019-08-07 01:18:00,2019-08-05 14:40:00,2019-08-07 01:47:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T2,192031,B05,LIQUID,PETROLEUM BLACK OIL,BITUMEN,34.05,35.12,IMPORT,2529.677,0.03,0.003,0.0,0.0,0.0,1783.03,WEST,3347.87,HANDYSIZE,KHOR AL ZUBIR,MUNDRA PORT,KHOR AL ZUBIR,BY ORDER,MT EMERALD 1
804,2020-03-25 15:00:00,2020-03-27 23:04:00,2020-03-23 04:06:00,2020-03-27 23:27:00,Mar 2020,H2,2019-20,MUNDRA,LQD,T2,200875,B06,LIQUID,PETROLEUM BLACK OIL,BITUMEN,56.07,115.35,IMPORT,3740.74,0.04,0.004,0.0,56.9,1.58,1601.27,WEST,,HANDYSIZE,BASRA,MUNDRA PORT,MUMBAI PORT,BASRA,MT A STAR
837,2019-11-29 05:48:00,2019-11-30 22:06:00,2019-11-29 05:06:00,2019-11-30 22:35:00,Nov 2019,H2,2019-20,MUNDRA,LQD,T2,193043,B06,LIQUID,PETROLEUM BLACK OIL,BITUMEN,40.3,41.48,IMPORT,3657.32,0.04,0.004,0.0,0.0,0.0,2178.06,WEST,9670.0,HANDYSIZE,NINA QABOOS,MUNDRA PORT,MUMBAI PORT,BASRA,MT ASPHALT PRINCESS
841,2019-10-17 21:24:00,2019-10-20 04:16:00,2019-10-17 20:30:00,2019-10-20 04:45:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T2,192654,B06,LIQUID,PETROLEUM BLACK OIL,BITUMEN,54.87,56.25,IMPORT,4263.004,0.04,0.004,0.0,0.0,0.0,1864.74,WEST,10767.7,HANDYSIZE,BASRAH OIL TERMINAL,MUNDRA PORT,BASRA,KARWAR,MT A STAR
869,2019-06-28 09:42:00,2019-06-29 17:10:00,2019-06-28 05:42:00,2019-06-29 17:40:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T2,191706,B07,LIQUID,PETROLEUM BLACK OIL,BITUMEN,31.47,35.97,IMPORT,2708.084,0.03,0.003,0.0,3.4,0.0,2065.49,WEST,,HANDYSIZE,RAS AL KHAIMAH,MUNDRA PORT,RAS AL KHAIMAH,RAS AL KHAIMAH,MT ASPHALT II
870,2019-06-24 05:36:00,2019-06-25 05:24:00,2019-06-23 12:35:00,2019-06-25 05:57:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T2,191678,B07,LIQUID,PETROLEUM BLACK OIL,BITUMEN,23.8,41.37,IMPORT,2000.0,0.02,0.002,0.0,12.83,2.0,2016.81,WEST,,HANDYSIZE,BASRAH OIL TERMINAL,MUNDRA PORT,BASRAH OIL TERMINAL,HAZIRA,MT SEA PRINCESS
871,2019-06-19 02:00:00,2019-06-20 21:15:00,2019-06-19 01:20:00,2019-06-20 21:45:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T2,191620,B07,LIQUID,PETROLEUM BLACK OIL,BITUMEN,43.25,44.42,IMPORT,5638.029,0.06,0.006,0.0,0.0,0.0,3128.62,WEST,6392.0,HANDYSIZE,BASRAH OIL TERMINAL,MUNDRA PORT,BASRAH OIL TERMINAL,BY ORDER,MT GOLDEN LILY
