,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
4296,2019-04-09 08:18:00,2019-04-09 18:00:00,2019-04-09 07:00:00,2019-04-09 18:35:00,Apr 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),190952,CB4,CONTAINERS,CAR CARRIER,CAR,9.7,11.58,EXPORT,1358.0,0.01,0.001,0.0,0.0,0.0,3360.0,WEST,13022.5,PANAMAX VESSEL,MUNDRA PORT,AQABA,SINGAPORE,PIRAEVS/PIRAEUS,MV MEDITERRANEAN HIGHWAY
4323,2019-04-13 10:42:00,2019-04-13 19:54:00,2019-04-12 02:12:00,2019-04-13 20:33:00,Apr 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191009,CB4,CONTAINERS,CAR CARRIER,CAR,9.2,42.35,EXPORT,1200.0,0.01,0.001,0.0,0.0,31.63,3130.43,WEST,20129.0,PANAMAX VESSEL,MUNDRA PORT,BY ORDER,JEBEL ALI,MUMBAI PORT,MV MORNING CORNET
4324,2019-04-13 10:42:00,2019-04-13 19:54:00,2019-04-12 02:12:00,2019-04-13 20:33:00,Apr 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191009,CB4,CONTAINERS,CAR CARRIER,CAR,0.0,0.0,RESTOW,108.0,0.0,0.0,0.0,0.0,0.0,281.74,WEST,20129.0,PANAMAX VESSEL,MUNDRA PORT,BY ORDER,JEBEL ALI,MUMBAI PORT,MV MORNING CORNET
4325,2019-04-17 22:06:00,2019-04-18 04:36:00,2019-04-17 05:48:00,2019-04-18 05:15:00,Apr 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),190999,CB4,CONTAINERS,CAR CARRIER,CAR,6.5,23.45,EXPORT,600.0,0.01,0.001,0.0,0.0,15.3,2215.38,WEST,6502.4,PANAMAX VESSEL,MUNDRA PORT,BY ORDER,PORT OF RASHID,ENNORE,MV MERCURY LEADER
4326,2019-04-26 07:24:00,2019-04-26 11:46:00,2019-04-26 05:30:00,2019-04-26 12:30:00,Apr 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191024,CB4,CONTAINERS,CAR CARRIER,CAR,4.37,7.0,EXPORT,408.0,0.0,0.0,0.0,0.0,0.92,2242.44,WEST,,PANAMAX VESSEL,MUNDRA PORT,COLOMBO,JEDDAH,MUMBAI PORT,MV VIOLET ACE
4327,2019-04-19 06:30:00,2019-04-19 14:42:00,2019-04-19 05:30:00,2019-04-19 15:21:00,Apr 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191038,CB4,CONTAINERS,CAR CARRIER,CAR,8.2,9.85,EXPORT,800.0,0.01,0.001,0.0,0.0,0.0,2341.46,WEST,,PANAMAX VESSEL,GUJARAT - MUNDRA PORT,JEDDAH,ALBERT VICTOR (BEHERAI),JEDDAH,MV TRITON ACE
4356,2019-04-29 07:24:00,2019-04-29 21:12:00,2019-04-29 06:18:00,2019-04-29 21:45:00,Apr 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191116,CB4,CONTAINERS,CAR CARRIER,CAR,13.8,15.45,EXPORT,1931.0,0.02,0.002,0.0,0.0,0.0,3358.26,WEST,13562.0,PANAMAX VESSEL,,,SINGAPORE,PIRAEVS/PIRAEUS,MV GENIUS HIGHWAY
4357,2019-05-01 11:00:00,2019-05-01 18:30:00,2019-05-01 10:00:00,2019-05-01 19:03:00,May 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191127,CB4,CONTAINERS,CAR CARRIER,CAR,7.5,9.05,EXPORT,800.0,0.01,0.001,0.0,0.0,0.0,2560.0,WEST,,PANAMAX VESSEL,,,KUWAIT,SINGAPORE,MV MORNING CONCERT
4358,2019-05-11 06:00:00,2019-05-11 16:18:00,2019-05-10 08:48:00,2019-05-11 16:51:00,May 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191255,CB4,CONTAINERS,CAR CARRIER,CAR,10.3,32.05,EXPORT,1260.0,0.01,0.001,0.0,0.0,20.2,2935.92,WEST,,PANAMAX VESSEL,,,BAHRAIN,MUMBAI PORT,MV MORNING CHANT
4359,2019-05-14 08:54:00,2019-05-14 21:42:00,2019-05-14 07:50:00,2019-05-14 22:21:00,May 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191251,CB4,CONTAINERS,CAR CARRIER,CAR,12.8,14.52,EXPORT,1442.0,0.01,0.001,0.0,0.0,0.0,2703.75,WEST,,PANAMAX VESSEL,,,SINGAPORE,AQABA,MV ONYX ARROW
4388,2019-05-27 10:45:00,2019-05-28 00:05:00,2019-05-27 09:00:00,2019-05-28 00:40:00,May 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191343,CB4,CONTAINERS,CAR CARRIER,CAR,13.33,15.67,EXPORT,1689.0,0.02,0.002,0.0,0.0,0.7,3040.2,WEST,6392.4,PANAMAX VESSEL,MUNDRA PORT,COLOMBO,DAMMAM,MUMBAI PORT,MV BERGAMOT ACE
4421,2019-05-31 06:06:00,2019-05-31 14:30:00,2019-05-30 07:00:00,2019-05-31 15:03:00,May 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191435,CB4,CONTAINERS,CAR CARRIER,CAR,8.4,32.05,EXPORT,1009.0,0.01,0.001,0.0,0.0,22.0,2882.86,WEST,,PANAMAX VESSEL,,,KUWAIT,SINGAPORE,MV MORNING CONDUCTOR
4422,2019-05-31 06:06:00,2019-05-31 14:30:00,2019-05-30 07:00:00,2019-05-31 15:03:00,May 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191435,CB4,CONTAINERS,CAR CARRIER,CAR,0.0,0.0,RESTOW,55.0,0.0,0.0,0.0,0.0,0.0,157.14,WEST,,PANAMAX VESSEL,,,KUWAIT,SINGAPORE,MV MORNING CONDUCTOR
4441,2019-05-29 09:48:00,2019-05-29 21:36:00,2019-05-29 08:42:00,2019-05-29 22:15:00,May 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191420,CB4,CONTAINERS,CAR CARRIER,CAR,11.8,13.55,EXPORT,1388.0,0.01,0.001,0.0,0.0,0.0,2823.05,WEST,15134.0,PANAMAX VESSEL,MUNDRA PORT,YOKOHAMA,SINGAPORE,PIRAEVS/PIRAEUS,MV CAPE TOWN HIGHWAY
4453,2019-06-27 06:00:00,2019-06-27 18:10:00,2019-06-27 05:00:00,2019-06-27 18:51:00,Jun 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191590,CB4,CONTAINERS,CAR CARRIER,CAR,12.17,13.85,EXPORT,1549.0,0.02,0.002,0.0,0.0,0.0,3055.56,WEST,17686.0,PANAMAX VESSEL,MUNDRA PORT,COLOMBO,SOHAR,MUMBAI PORT,MV BRAVERY ACE
4462,2019-06-18 15:24:00,2019-06-19 01:54:00,2019-06-18 14:24:00,2019-06-19 02:30:00,Jun 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191557,CB4,CONTAINERS,CAR CARRIER,CAR,10.5,12.1,EXPORT,1376.0,0.01,0.001,0.0,0.0,0.0,3145.14,WEST,,PANAMAX VESSEL,,,JEBEL ALI,MUMBAI PORT,MV MORNING CHAMPION
4463,2019-06-21 20:30:00,2019-06-22 06:06:00,2019-06-21 19:15:00,2019-06-22 06:35:00,Jun 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191564,CB4,CONTAINERS,CAR CARRIER,CAR,9.6,11.33,EXPORT,1122.0,0.01,0.001,0.0,0.0,0.0,2805.0,WEST,,PANAMAX VESSEL,,,KUWAIT,SINGAPORE,MV CRONUS LEADER
4483,2019-06-17 09:42:00,2019-06-17 21:54:00,2019-06-16 11:06:00,2019-06-17 22:39:00,Jun 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191497,CB4,CONTAINERS,CAR CARRIER,CAR,12.2,35.55,EXPORT,1400.0,0.01,0.001,0.0,0.0,21.78,2754.1,WEST,11407.0,PANAMAX VESSEL,MUNDRA PORT,AQABA,SINGAPORE,AQABA,MV GEORGIA HIGHWAY
4538,2019-06-30 19:00:00,2019-07-01 08:24:00,2019-06-30 18:00:00,2019-07-01 09:00:00,Jul 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191703,CB4,CONTAINERS,CAR CARRIER,CAR,13.4,15.0,EXPORT,2009.0,0.02,0.002,0.0,0.0,0.0,3598.21,WEST,,PANAMAX VESSEL,,,KUWAIT,SINGAPORE,MV ASIAN DYNASTY
4547,2019-07-21 10:00:00,2019-07-21 17:00:00,2019-07-21 09:00:00,2019-07-21 17:40:00,Jul 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191782,CB4,CONTAINERS,CAR CARRIER,CAR,7.0,8.67,EXPORT,866.0,0.01,0.001,0.0,0.0,0.0,2969.14,WEST,,PANAMAX VESSEL,,,HAMBANTOTA,ELAT (EILATH),MV HYPERION LEADER
4548,2019-07-16 15:06:00,2019-07-16 21:18:00,2019-07-16 14:00:00,2019-07-16 21:57:00,Jul 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191783,CB4,CONTAINERS,CAR CARRIER,CAR,6.2,7.95,EXPORT,680.0,0.01,0.001,0.0,0.0,0.0,2632.26,WEST,,PANAMAX VESSEL,,,KUWAIT,ENNORE,MV GAIA LEADER
4549,2019-07-13 15:24:00,2019-07-14 02:00:00,2019-07-13 14:30:00,2019-07-14 02:40:00,Jul 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191789,CB4,CONTAINERS,CAR CARRIER,CAR,10.6,12.17,EXPORT,1280.0,0.01,0.001,0.0,0.0,0.0,2898.11,WEST,,PANAMAX VESSEL,,,BINQUASIM,MUMBAI PORT,MV ASIAN VISION
4550,2019-07-13 15:24:00,2019-07-14 02:00:00,2019-07-13 14:30:00,2019-07-14 02:40:00,Jul 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191789,CB4,CONTAINERS,CAR CARRIER,CAR,0.0,0.0,RESTOW,2.0,0.0,0.0,0.0,0.0,0.0,4.53,WEST,,PANAMAX VESSEL,,,BINQUASIM,MUMBAI PORT,MV ASIAN VISION
4555,2019-07-28 18:20:00,2019-07-29 02:12:00,2019-07-27 05:20:00,2019-07-29 02:43:00,Jul 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191795,CB4,CONTAINERS,CAR CARRIER,CAR,7.87,45.38,EXPORT,824.0,0.01,0.001,0.0,0.0,35.92,2513.9,WEST,,PANAMAX VESSEL,,,HAMAD,MUMBAI PORT,MV AZALEA ACE
4595,2019-07-31 15:00:00,2019-08-01 05:25:00,2019-07-28 20:48:00,2019-08-01 06:00:00,Aug 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),191940,CB4,CONTAINERS,CAR CARRIER,CAR,14.42,81.2,EXPORT,2144.0,0.02,0.002,0.0,0.0,65.2,3569.2,WEST,9800.0,PANAMAX VESSEL,,,KUWAIT,SINGAPORE,MV TARIFA
4615,2019-08-16 07:54:00,2019-08-16 14:00:00,2019-08-16 06:20:00,2019-08-16 14:33:00,Aug 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),192046,CB4,CONTAINERS,CAR CARRIER,CAR,6.1,8.22,EXPORT,822.0,0.01,0.001,0.0,0.0,0.0,3234.1,WEST,,PANAMAX VESSEL,,,DJIBOUTI,SINGAPORE,MV APHRODITE LEADER
4616,2019-08-12 06:42:00,2019-08-12 18:00:00,2019-08-11 05:00:00,2019-08-12 18:33:00,Aug 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),192047,CB4,CONTAINERS,CAR CARRIER,CAR,11.3,37.55,EXPORT,1269.0,0.01,0.001,0.0,0.0,24.75,2695.22,WEST,,PANAMAX VESSEL,,,BAHRAIN,MUMBAI PORT,MV MORNING CROWN
4627,2019-08-27 19:00:00,2019-08-28 05:30:00,2019-08-27 18:00:00,2019-08-28 06:09:00,Aug 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),192130,CB4,CONTAINERS,CAR CARRIER,CAR,10.5,12.15,EXPORT,905.0,0.01,0.001,0.0,0.0,0.0,2068.57,WEST,,PANAMAX VESSEL,,,KHALIFA (ABU DHABI),MUMBAI PORT,MV COSMOS ACE
4659,2019-08-30 06:30:00,2019-08-30 18:18:00,2019-08-30 05:30:00,2019-08-30 19:00:00,Aug 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),192193,CB4,CONTAINERS,CAR CARRIER,CAR,11.8,13.5,EXPORT,1637.0,0.02,0.002,0.0,0.0,0.0,3329.49,WEST,,PANAMAX VESSEL,MUNDRA PORT,BY ORDER,KUWAIT,SINGAPORE,MV MORNING PILOT
4678,2019-08-27 06:18:00,2019-08-27 13:30:00,2019-08-25 09:10:00,2019-08-27 14:09:00,Aug 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),192146,CB4,CONTAINERS,CAR CARRIER,CAR,7.2,52.98,EXPORT,722.0,0.01,0.001,0.0,0.0,44.23,2406.67,WEST,,PANAMAX VESSEL,,,MOMBASA,MUMBAI PORT,MV PRECIOUS ACE
4696,2019-09-21 15:30:00,2019-09-21 23:10:00,2019-09-21 11:06:00,2019-09-21 23:53:00,Sep 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),192377,CB4,CONTAINERS,CAR CARRIER,CAR,7.67,12.78,EXPORT,982.0,0.01,0.001,0.0,0.0,3.3,3074.09,WEST,,HANDYSIZE,,,SOHAR,ENNORE,MV TAURUS LEADER
4697,2019-09-19 06:00:00,2019-09-19 23:06:00,2019-09-18 22:54:00,2019-09-19 23:43:00,Sep 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),192346,CB4,CONTAINERS,CAR CARRIER,CAR,17.1,24.82,EXPORT,1840.0,0.02,0.002,0.0,0.0,6.0,2582.46,WEST,,PANAMAX VESSEL,MUNDRA PORT,BY ORDER,BAHRAIN,MUMBAI PORT,MV ASIAN EMPEROR
4698,2019-09-19 06:00:00,2019-09-19 23:06:00,2019-09-18 22:54:00,2019-09-19 23:43:00,Sep 2019,H1,2019-20,MUNDRA,RORO,CT2 (AMCT),192346,CB4,CONTAINERS,CAR CARRIER,CAR,0.0,0.0,RESTOW,17.0,0.0,0.0,0.0,0.0,0.0,23.86,WEST,,PANAMAX VESSEL,MUNDRA PORT,BY ORDER,BAHRAIN,MUMBAI PORT,MV ASIAN EMPEROR
