,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
525,2019-09-28 08:48:00,2019-09-29 19:54:00,2019-09-26 11:18:00,2019-09-29 20:27:00,Sep 2019,H1,2019-20,MUNDRA,SOUTH,T2,192420,B05,CONTAINERS,CONTAINER,CONTAINER,35.1,81.15,IMPORT,7489.8,0.07,0.007,0.513,0.0,44.7,5121.23,WEST,,SUB PANAMAX,,,JEBEL ALI,KRISHNAPATAM,MV SSL DELHI
526,2019-09-28 08:48:00,2019-09-29 19:54:00,2019-09-26 11:18:00,2019-09-29 20:27:00,Sep 2019,H1,2019-20,MUNDRA,SOUTH,T2,192420,B05,CONTAINERS,CONTAINER,CONTAINER,0.0,0.0,EXPORT,12512.2,0.13,0.013,0.857,0.0,0.0,8555.35,WEST,,SUB PANAMAX,,,JEBEL ALI,KRISHNAPATAM,MV SSL DELHI
527,2019-09-28 08:48:00,2019-09-29 19:54:00,2019-09-26 11:18:00,2019-09-29 20:27:00,Sep 2019,H1,2019-20,MUNDRA,SOUTH,T2,192420,B05,CONTAINERS,CONTAINER,CONTAINER,0.0,0.0,IMPORT,219.0,0.0,0.0,0.015,0.0,0.0,149.74,WEST,,SUB PANAMAX,,,JEBEL ALI,KRISHNAPATAM,MV SSL DELHI
528,2019-09-28 08:48:00,2019-09-29 19:54:00,2019-09-26 11:18:00,2019-09-29 20:27:00,Sep 2019,H1,2019-20,MUNDRA,T2,T2,192420,B05,CONTAINERS,CONTAINER,CONTAINER,0.0,0.0,IMPORT,1883.4,0.02,0.002,0.129,0.0,0.0,1287.79,WEST,,SUB PANAMAX,,,JEBEL ALI,KRISHNAPATAM,MV SSL DELHI
529,2019-10-23 20:42:00,2019-10-24 12:54:00,2019-10-23 19:56:00,2019-10-24 13:27:00,Oct 2019,H2,2019-20,MUNDRA,T2,T2,192586,B05,CONTAINERS,CONTAINER,CONTAINER,16.2,17.52,EXPORT,9884.2,0.1,0.01,0.677,0.0,0.0,14643.26,WEST,,SUB PANAMAX,,,JEBEL ALI,NHAVA SHEVA,MV NORDMED
530,2019-10-23 20:42:00,2019-10-24 12:54:00,2019-10-23 19:56:00,2019-10-24 13:27:00,Oct 2019,H2,2019-20,MUNDRA,T2,T2,192586,B05,CONTAINERS,CONTAINER,CONTAINER,0.0,0.0,IMPORT,160.6,0.0,0.0,0.011,0.0,0.0,237.93,WEST,,SUB PANAMAX,,,JEBEL ALI,NHAVA SHEVA,MV NORDMED
531,2019-10-30 01:00:00,2019-10-30 18:42:00,2019-10-30 00:20:00,2019-10-30 19:15:00,Oct 2019,H2,2019-20,MUNDRA,T2,T2,192618,B05,CONTAINERS,CONTAINER,CONTAINER,17.7,18.92,IMPORT,12030.4,0.12,0.012,0.824,0.0,0.0,16312.41,WEST,,SUB PANAMAX,,,JEBEL ALI,NHAVA SHEVA,MV WESTERMOOR
532,2019-10-30 01:00:00,2019-10-30 18:42:00,2019-10-30 00:20:00,2019-10-30 19:15:00,Oct 2019,H2,2019-20,MUNDRA,T2,T2,192618,B05,CONTAINERS,CONTAINER,CONTAINER,0.0,0.0,EXPORT,9344.0,0.09,0.009,0.64,0.0,0.0,12669.83,WEST,,SUB PANAMAX,,,JEBEL ALI,NHAVA SHEVA,MV WESTERMOOR
533,2019-10-30 01:00:00,2019-10-30 18:42:00,2019-10-30 00:20:00,2019-10-30 19:15:00,Oct 2019,H2,2019-20,MUNDRA,T2,T2,192618,B05,CONTAINERS,CONTAINER,CONTAINER,0.0,0.0,IMPORT,219.0,0.0,0.0,0.015,0.0,0.0,296.95,WEST,,SUB PANAMAX,,,JEBEL ALI,NHAVA SHEVA,MV WESTERMOOR
534,2019-10-18 07:50:00,2019-10-19 07:20:00,2019-10-18 02:45:00,2019-10-19 07:49:00,Oct 2019,H2,2019-20,MUNDRA,T2,T2,192581,B05,CONTAINERS,CONTAINER,CONTAINER,23.5,29.07,IMPORT,5431.2,0.05,0.005,0.372,4.25,0.0,5546.76,WEST,,HANDY MAX,,,BANDAR ABBAS,BANDAR ABBAS,MV MERCURY
