,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
895,2019-09-05 11:42:00,2019-09-13 06:18:00,2019-09-01 23:48:00,2019-09-13 06:50:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192076,B07,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,2000.0,0.02,0.002,0.0,0.0,0.0,257.23,WEST,41693.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,RUWAIS,MV MEDI ASTORIA
896,2019-09-05 11:42:00,2019-09-13 06:18:00,2019-09-01 23:48:00,2019-09-13 06:50:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192076,B07,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,17120.154,0.17,0.017,0.0,0.0,0.0,2201.95,WEST,41693.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,RUWAIS,MV MEDI ASTORIA
897,2019-09-05 11:42:00,2019-09-13 06:18:00,2019-09-01 23:48:00,2019-09-13 06:50:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192076,B07,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,128.62,WEST,41693.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,RUWAIS,MV MEDI ASTORIA
898,2019-09-05 11:42:00,2019-09-13 06:18:00,2019-09-01 23:48:00,2019-09-13 06:50:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192076,B07,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,128.62,WEST,41693.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,RUWAIS,MV MEDI ASTORIA
899,2019-09-05 11:42:00,2019-09-13 06:18:00,2019-09-01 23:48:00,2019-09-13 06:50:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192076,B07,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,128.62,WEST,41693.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,RUWAIS,MV MEDI ASTORIA
900,2019-09-05 11:42:00,2019-09-13 06:18:00,2019-09-01 23:48:00,2019-09-13 06:50:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192076,B07,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,4000.0,0.04,0.004,0.0,0.0,0.0,514.47,WEST,41693.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,RUWAIS,MV MEDI ASTORIA
901,2019-09-05 11:42:00,2019-09-13 06:18:00,2019-09-01 23:48:00,2019-09-13 06:50:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192076,B07,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,128.62,WEST,41693.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,RUWAIS,MV MEDI ASTORIA
902,2019-09-05 11:42:00,2019-09-13 06:18:00,2019-09-01 23:48:00,2019-09-13 06:50:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192076,B07,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1500.0,0.02,0.002,0.0,0.0,0.0,192.93,WEST,41693.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,RUWAIS,MV MEDI ASTORIA
1277,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,111.8,149.52,IMPORT,1500.0,0.02,0.002,0.0,1.18,35.3,322.0,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1278,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,214.67,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1279,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,214.67,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1280,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,2000.0,0.02,0.002,0.0,0.0,0.0,429.34,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1281,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,27755.0,0.28,0.028,0.0,0.0,0.0,5958.14,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1282,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,214.67,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1283,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,214.67,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1284,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,214.67,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1285,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,214.67,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1286,2019-08-26 23:00:00,2019-08-31 14:48:00,2019-08-25 09:42:00,2019-08-31 15:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192172,B10,DRY,PULSES,CRIMSON LENTILS,0.0,0.0,IMPORT,1000.0,0.01,0.001,0.0,0.0,0.0,214.67,WEST,63160.9,PANAMAX VESSEL,VANCOUVER APT,MUNDRA PORT,SINGAPORE,SHARJAH,MV KENNADI
1343,2019-03-26 15:18:00,2019-04-02 06:06:00,2019-03-25 07:20:00,2019-04-02 06:33:00,Apr 2019,H1,2019-20,MUNDRA,DRY,T3,190821,B10,DRY,PULSES,CRIMSON LENTILS,158.8,191.22,IMPORT,1705.38713414801,0.02,0.002,0.0,0.0,31.07,257.74,WEST,61240.0,POST PANAMAX,VANCOURVER,MUNDRA PORT,SINGAPORE,BY ORDER,MV KALEY
