,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
8,2019-05-23 08:06:00,2019-05-26 17:57:00,2019-05-22 12:00:00,2019-05-26 18:30:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191365,B01,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,0.0,0.0,IMPORT,16099.952,0.16,0.016,0.0,0.0,0.0,4720.82,WEST,33544.0,HANDY MAX,KUNAK,MUNDRA PORT,SINGAPORE,AL JUBAIL,MT ARGENT COSMOS
14,2019-07-10 09:42:00,2019-07-11 15:42:00,2019-07-09 05:25:00,2019-07-11 16:10:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191762,B01,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,30.0,58.75,IMPORT,8000.0,0.08,0.008,0.0,0.0,27.67,6400.0,WEST,44910.0,HANDY MAX,DUMAI,MUNDRA PORT,PASIR GUDANG,KANDLA PORT,MT SILVER CARLA
34,2019-08-27 00:06:00,2019-08-29 14:00:00,2019-08-22 22:36:00,2019-08-29 14:39:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192118,B01,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,61.9,160.05,IMPORT,12999.281,0.13,0.013,0.0,0.0,96.98,5040.11,WEST,45200.0,PANAMAX VESSEL,TARAHAN,MUNDRA PORT,TARAHAN,PORT QUASIM,MT MARITIME RIYAL
38,2019-09-08 10:40:00,2019-09-12 09:30:00,2019-08-31 06:40:00,2019-09-12 09:57:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T1,192186,B01,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,0.0,0.0,IMPORT,12899.993,0.13,0.013,0.0,0.0,0.0,3264.67,WEST,31893.0,HANDYSIZE,LUMUT,MUNDRA PORT,SINGAPORE,KANDLA,MT MELATI 7
50,2019-10-11 01:24:00,2019-10-13 00:03:00,2019-10-10 19:43:00,2019-10-13 00:30:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192570,B01,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,46.65,52.78,IMPORT,12999.762,0.13,0.013,0.0,4.95,0.0,6687.98,WEST,,HANDY MAX,TARAHAN,MUNDRA PORT,SINGAPORE,PORT QUASIM,MT SILVER EUPLECTA
53,2019-10-23 23:35:00,2019-10-25 08:03:00,2019-10-23 23:05:00,2019-10-25 08:33:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192682,B01,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,32.47,33.47,IMPORT,7499.889,0.07,0.007,0.0,0.0,0.0,5544.07,WEST,43829.0,HANDYSIZE,DUMAI,MUNDRA PORT,GALLE,PORT QASIM,MT NCC QASSIM
121,2019-08-01 15:54:00,2019-08-02 15:16:00,2019-08-01 14:30:00,2019-08-02 15:55:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,191964,B02,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,23.37,25.42,IMPORT,7799.994,0.08,0.008,0.0,0.0,0.3,8011.41,WEST,32774.0,HANDYSIZE,LUBUK GUANG,MUNDRA PORT,LUBUK GUANG,PORT QASIM,MT HORIZON
139,2019-06-20 17:30:00,2019-06-24 17:55:00,2019-06-17 16:10:00,2019-06-24 18:27:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191559,B02,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,0.0,0.0,IMPORT,14199.985,0.14,0.014,0.0,0.0,0.0,3534.65,WEST,25101.699,HANDYSIZE,PELINTUNG,MUNDRA PORT,PELINTUNG,KANDLA,MT MELATI 5
149,2019-06-01 05:24:00,2019-06-04 01:43:00,2019-05-31 14:48:00,2019-06-04 02:15:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191449,B02,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,0.0,0.0,IMPORT,1999.94,0.02,0.002,0.0,0.0,0.0,702.59,WEST,31453.0,HANDYSIZE,BINTULU,MUNDRA PORT,SINGAPORE,HAZIRA,MT MELATI 3
156,2019-05-04 18:36:00,2019-05-07 03:24:00,2019-04-30 08:48:00,2019-05-07 03:51:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191183,B02,LIQUID,VEGETABLE OIL HEATED CARGO,CRUDE PALM OIL,56.8,163.05,IMPORT,13002.82,0.13,0.013,0.0,0.0,105.1,5494.15,WEST,42428.0,HANDY MAX,KRABI,MUNDRA PORT,KRABI,BIN QASIM,MT MARITIME TUNTIGA
