,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
5053,2019-09-01 11:18:00,2019-09-04 01:06:00,2019-09-01 09:36:00,2019-09-04 02:45:00,Sep 2019,H1,2019-20,MUNDRA,HMEL,HMEL,192260,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,61.8,65.15,IMPORT,295629.149,2.96,0.296,0.0,0.0,0.0,114807.44,WEST,301810.0,ULTRA LARGE CRUDE CARRIER,CAYO ARCAS,MUNDRA PORT,CAPETOWN,SUEZ CANAL,MT MARAN ANTARES
5054,2019-08-26 08:06:00,2019-08-27 13:36:00,2019-08-25 18:12:00,2019-08-27 14:57:00,Aug 2019,H1,2019-20,MUNDRA,HMEL,HMEL,192194,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,29.5,44.75,IMPORT,133430.58,1.33,0.133,0.0,0.0,12.3,108553.69,WEST,139491.2,SUEZMAX,MIN-AL-FAHAL,MUNDRA PORT,MIN-AL-FAHAL,FUJAIRAH,MT JAG LAKSHYA
5055,2019-08-13 17:42:00,2019-08-14 21:06:00,2019-08-13 16:30:00,2019-08-14 23:03:00,Aug 2019,H1,2019-20,MUNDRA,HMEL,HMEL,192088,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,27.4,30.55,IMPORT,139447.39,1.39,0.139,0.0,0.0,0.0,122143.7,WEST,144814.9,SUEZMAX,PARAS TANURA,MUNDRA PORT,PARAS TANURA,MIN-AL-FAHAL,MT JAG LAKSHYA
5056,2019-08-17 13:30:00,2019-08-19 23:42:00,2019-08-16 06:00:00,2019-08-20 01:41:00,Aug 2019,H1,2019-20,MUNDRA,HMEL,HMEL,192102,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,58.2,91.68,IMPORT,284824.735,2.85,0.285,0.0,0.0,30.0,117453.5,WEST,,VERY LARGE CRUDE CARRIER,BASRAH OIL TERMINAL,MUNDRA PORT,BASRA,FUJAIRAH,MT CHRYSSI
5057,2019-08-06 13:06:00,2019-08-07 18:24:00,2019-08-03 22:00:00,2019-08-07 20:03:00,Aug 2019,H1,2019-20,MUNDRA,HMEL,HMEL,192006,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,29.3,94.05,IMPORT,79089.968,0.79,0.079,0.0,5.52,56.67,64783.59,WEST,80610.0,AFRAMAX,PORT ALLEN,MUNDRA PORT,PORT ELIZABETH,KHOR AL ZUBIR,MT ALPINE AMALIA
5058,2019-08-08 15:54:00,2019-08-09 21:00:00,2019-08-06 02:22:00,2019-08-09 22:30:00,Aug 2019,H1,2019-20,MUNDRA,HMEL,HMEL,192016,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,29.1,92.13,IMPORT,136682.72,1.37,0.137,0.0,0.0,59.87,112728.02,WEST,143234.0,SUEZMAX,MIN-AL-FAHAL,MUNDRA PORT,MIN-AL-FAHAL,FUJAIRAH,MT SOUTH SEA
5059,2019-07-27 18:00:00,2019-07-29 18:06:00,2019-07-26 18:24:00,2019-07-29 19:33:00,Jul 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191933,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,48.1,73.15,IMPORT,146861.11,1.47,0.147,0.0,0.0,22.08,73277.89,WEST,152563.3,SUEZMAX,DOS BOCAS,MUNDRA PORT,PORT SAID,PARAS TANURA,MT JAG LAKSHYA
5060,2019-08-03 14:48:00,2019-08-05 10:36:00,2019-08-01 22:06:00,2019-08-05 11:51:00,Aug 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191983,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,43.8,85.75,IMPORT,140650.52,1.41,0.141,0.0,0.0,38.7,77068.78,WEST,146835.7,SUEZMAX,PARAS TANURA,MUNDRA PORT,PARAS TANURA,FUJAIRAH,MT JAG LAKSHITA
5061,2019-07-19 13:12:00,2019-07-21 22:30:00,2019-07-19 10:48:00,2019-07-21 23:57:00,Jul 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191881,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,57.3,61.15,IMPORT,273394.588,2.73,0.273,0.0,0.0,0.0,114510.82,WEST,281561.0,VERY LARGE CRUDE CARRIER,BASRA,MUNDRA PORT,BASRA,RASTANURA,MT ARION
5062,2019-08-01 09:42:00,2019-08-03 12:20:00,2019-07-28 01:18:00,2019-08-03 14:03:00,Aug 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191886,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,50.63,156.75,IMPORT,142747.846,1.43,0.143,0.0,0.0,103.08,67661.92,WEST,173309.0,VERY LARGE CRUDE CARRIER,ANGRA DOS REIS,MUNDRA PORT,ANGRA DOS REIS,CESME,MT INGRID
5063,2019-07-15 09:25:00,2019-07-17 23:48:00,2019-07-14 14:30:00,2019-07-18 00:51:00,Jul 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191838,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,62.38,82.35,IMPORT,136766.79,1.37,0.137,0.0,0.0,16.92,52616.67,WEST,142747.0,SUEZMAX,AL SHAHEEN TERMINAL,MUNDRA PORT,AL SHAHEEN TERMINAL,FUJAIRAH,MT TONY
5064,2019-07-08 08:24:00,2019-07-09 23:48:00,2019-07-08 06:00:00,2019-07-10 01:35:00,Jul 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191784,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,39.4,43.58,IMPORT,143711.62,1.44,0.144,0.0,0.0,1.0,87540.07,WEST,149852.0,SUEZMAX,,MUNDRA PORT,PARAS TANURA,FUJAIRAH,MT POLA
5065,2019-06-29 07:42:00,2019-06-30 14:54:00,2019-06-28 22:00:00,2019-06-30 16:33:00,Jun 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191713,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,31.2,42.55,IMPORT,138253.51,1.38,0.138,0.0,0.0,8.1,106348.85,WEST,145668.0,SUEZMAX,RASTANURA,MUNDRA PORT,RASTANURA,FUJAIRAH,MT JAG LOK
5066,2019-07-05 12:00:00,2019-07-06 15:30:00,2019-07-05 10:30:00,2019-07-06 17:03:00,Jul 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191751,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,27.5,30.55,IMPORT,134240.485,1.34,0.134,0.0,0.0,0.0,117155.33,WEST,158916.0,VERY LARGE CRUDE CARRIER,BASRAH OIL TERMINAL,MUNDRA PORT,FUJAIRAH,FUJAIRAH,MT DESH VAIBHAV
5067,2019-07-01 09:00:00,2019-07-03 10:24:00,2019-06-30 23:45:00,2019-07-04 20:30:00,Jul 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191691,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,49.4,92.75,IMPORT,138731.797,1.39,0.139,0.0,0.0,7.75,67400.06,WEST,151098.0,SUEZMAX,ANGRA DOS REIS,MUNDRA PORT,ANGRA DOS REIS,BY ORDER,MT ANDRE REBOUCAS
5068,2019-06-19 11:24:00,2019-06-22 13:09:00,2019-06-19 10:00:00,2019-06-22 16:33:00,Jun 2019,H1,2019-20,MUNDRA,HMEL,HMEL,191616,HMEL,LIQUID,PETROLEUM WHITE OIL,CRUDE PETROLEUM OIL,73.75,78.55,IMPORT,273174.603,2.73,0.273,0.0,0.0,0.0,88897.5,WEST,278752.0,VERY LARGE CRUDE CARRIER,BASRAH OIL TERMINAL,MUNDRA PORT,BASRAH OIL TERMINAL,BASRA,MT DESH VAIBHAV
