,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
18,2019-07-15 15:30:00,2019-07-19 00:42:00,2019-07-15 08:12:00,2019-07-19 01:15:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191841,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,34000.0,0.34,0.034,0.0,0.0,0.0,10049.26,WEST,43531.0,PANAMAX VESSEL,,MUNDRA PORT,ROSARIO,NEW MANGALORE,MT JO ROWAN
19,2019-07-15 15:30:00,2019-07-19 00:42:00,2019-07-15 08:12:00,2019-07-19 01:15:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191841,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,6000.0,0.06,0.006,0.0,0.0,0.0,1773.4,WEST,43531.0,PANAMAX VESSEL,,MUNDRA PORT,ROSARIO,NEW MANGALORE,MT JO ROWAN
23,2019-08-03 03:48:00,2019-08-06 07:06:00,2019-08-02 20:48:00,2019-08-06 07:33:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,191987,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,75.3,82.75,IMPORT,31000.0,0.31,0.031,0.0,6.3,0.0,9880.48,WEST,42775.0,HANDY MAX,PARANAGUA,MUNDRA PORT,PORTS LOUIS,SINGAPORE,MT GOTLAND SOFIA
24,2019-08-03 03:48:00,2019-08-06 07:06:00,2019-08-02 20:48:00,2019-08-06 07:33:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,191987,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,9000.0,0.09,0.009,0.0,0.0,0.0,2868.53,WEST,42775.0,HANDY MAX,PARANAGUA,MUNDRA PORT,PORTS LOUIS,SINGAPORE,MT GOTLAND SOFIA
29,2019-08-07 07:24:00,2019-08-13 12:36:00,2019-08-07 04:00:00,2019-08-13 13:03:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192026,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,32000.0,0.32,0.032,0.0,0.0,0.0,5147.45,WEST,53850.0,HANDY MAX,PARANAGUA,MUNDRA PORT,ELIZABETH,PORT OF DUBAY/DUBAI,MT ARDMORE EXPLORER
30,2019-08-07 07:24:00,2019-08-13 12:36:00,2019-08-07 04:00:00,2019-08-13 13:03:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192026,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,9000.0,0.09,0.009,0.0,0.0,0.0,1447.72,WEST,53850.0,HANDY MAX,PARANAGUA,MUNDRA PORT,ELIZABETH,PORT OF DUBAY/DUBAI,MT ARDMORE EXPLORER
40,2019-08-31 17:40:00,2019-09-04 00:36:00,2019-08-31 16:36:00,2019-09-04 01:03:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T1,192226,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,78.93,80.45,IMPORT,32096.6418837209,0.32,0.032,0.0,0.0,0.0,9759.11,WEST,45431.0,HANDY MAX,,MUNDRA PORT,PARANAGUA,FUJAIRAH,MT STI FONTVIEILLE
41,2019-08-31 17:40:00,2019-09-04 00:36:00,2019-08-31 16:36:00,2019-09-04 01:03:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T1,192226,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,9726.25511627907,0.1,0.01,0.0,0.0,0.0,2957.31,WEST,45431.0,HANDY MAX,,MUNDRA PORT,PARANAGUA,FUJAIRAH,MT STI FONTVIEILLE
42,2019-08-31 17:40:00,2019-09-04 00:36:00,2019-08-31 16:36:00,2019-09-04 01:03:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192226,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,903.35811627907,0.01,0.001,0.0,0.0,0.0,274.67,WEST,45431.0,HANDY MAX,,MUNDRA PORT,PARANAGUA,FUJAIRAH,MT STI FONTVIEILLE
43,2019-08-31 17:40:00,2019-09-04 00:36:00,2019-08-31 16:36:00,2019-09-04 01:03:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192226,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,273.74488372093,0.0,0.0,0.0,0.0,0.0,83.23,WEST,45431.0,HANDY MAX,,MUNDRA PORT,PARANAGUA,FUJAIRAH,MT STI FONTVIEILLE
59,2019-11-05 13:42:00,2019-11-08 11:18:00,2019-11-05 13:00:00,2019-11-08 11:41:00,Nov 2019,H2,2019-20,MUNDRA,LQD,T1,192796,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,69.6,70.68,IMPORT,25000.0,0.25,0.025,0.0,0.0,0.0,8620.69,WEST,35326.61,HANDY MAX,SAN LORENZO,MUNDRA PORT,SAN LORENZO,SOHAR,MT UACC SILA
60,2019-11-05 13:42:00,2019-11-08 11:18:00,2019-11-05 13:00:00,2019-11-08 11:41:00,Nov 2019,H2,2019-20,MUNDRA,LQD,T1,192796,B01,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,6630.0,0.07,0.007,0.0,0.0,0.0,2286.21,WEST,35326.61,HANDY MAX,SAN LORENZO,MUNDRA PORT,SAN LORENZO,SOHAR,MT UACC SILA
128,2019-07-07 18:42:00,2019-07-10 07:48:00,2019-07-07 12:18:00,2019-07-10 08:20:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191757,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,61.1,68.03,IMPORT,30000.0,0.3,0.03,0.0,5.7,0.0,11783.96,WEST,33686.0,HANDY MAX,SAN LORENZO,MUNDRA PORT,SAN LORENZO,BY ORDER,MT GOTLAND MARIEANN
131,2019-06-29 12:42:00,2019-07-01 02:48:00,2019-06-29 12:05:00,2019-07-01 03:20:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191680,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,38.1,39.25,IMPORT,1.81898940354586e-12,0.0,0.0,0.0,0.0,0.0,0.0,WEST,42616.0,HANDY MAX,ROSARIO,MUNDRA PORT,PORT LOUIS,FOR ORDER,MT BRIGHT DAWN
132,2019-06-29 12:42:00,2019-07-01 02:48:00,2019-06-29 12:05:00,2019-07-01 03:20:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191680,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,11058.0,0.11,0.011,0.0,0.0,0.0,6965.67,WEST,42616.0,HANDY MAX,ROSARIO,MUNDRA PORT,PORT LOUIS,FOR ORDER,MT BRIGHT DAWN
133,2019-06-06 04:42:00,2019-06-07 16:36:00,2019-06-06 00:30:00,2019-06-07 17:09:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191525,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,35.9,40.65,IMPORT,7140.0,0.07,0.007,0.0,0.0,3.42,4773.26,WEST,25044.0,OTHER VESSEL,SAN LORENZO,MUNDRA PORT,MAPUTO,KARACHI,MT NAVIG8 AMMOLITE
137,2019-06-10 20:40:00,2019-06-16 14:00:00,2019-06-10 14:15:00,2019-06-16 14:40:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191550,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,137.33,144.42,IMPORT,31975.0,0.32,0.032,0.0,6.0,0.0,5587.86,WEST,,HANDY MAX,SAN LORENZO,MUNDRA PORT,BUENOS AIRES,PORT OF DUBAY/DUBAI,MT CHEMOCEAN ORION
157,2019-04-23 18:06:00,2019-04-26 05:54:00,2019-04-23 07:10:00,2019-04-26 06:27:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T1,191111,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,59.8,71.28,IMPORT,29000.0,0.29,0.029,0.0,0.0,10.28,11638.8,WEST,32000.0,HANDYSIZE,SAN LORENZO,MUNDRA PORT,PORT ELIZABETH,BY ORDER,MT NAVIG8 ALABASTER
169,2019-04-06 07:06:00,2019-04-09 03:30:00,2019-04-05 11:30:00,2019-04-09 04:00:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T1,190902,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,0.0,0.0,IMPORT,33610.0,0.34,0.034,0.0,0.0,0.0,11792.98,WEST,35337.0,PANAMAX VESSEL,SAN LORENZO,MUNDRA PORT,SAN LORENZO,INAGUA,MT OMODOS
176,2020-03-06 00:24:00,2020-03-07 05:30:00,2020-03-05 18:54:00,2020-03-10 22:03:00,Mar 2020,H2,2019-20,MUNDRA,LQD,T1,200711,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,29.1,123.15,IMPORT,16238.284,0.16,0.016,0.0,4.6,0.0,13392.4,WEST,27035.0,HANDY MAX,SAN LORENZO,MUNDRA PORT,HAZIRA,MUSCAT,MT SILVER EMILY
180,2020-02-08 02:36:00,2020-02-10 14:06:00,2020-02-07 22:30:00,2020-02-10 14:35:00,Feb 2020,H2,2019-20,MUNDRA,LQD,T1,200409,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,59.5,64.08,IMPORT,30300.0,0.3,0.03,0.0,3.33,0.0,12221.85,WEST,32031.0,HANDY MAX,SAN LORENZO,MUNDRA PORT,DURBAN,BY ORDER,MT ARDMORE SEAHAWK
186,2020-01-11 15:18:00,2020-01-13 15:36:00,2020-01-11 11:13:00,2020-01-13 16:07:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200211,B02,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,48.3,52.9,IMPORT,21624.422,0.22,0.022,0.0,3.48,0.0,10745.05,WEST,33647.15,HANDYSIZE,SAN LORENZO,MUNDRA PORT,TAMATAVE (TOAMASINA),SOHAR,MT CHEMBULK LINDY ALICE
393,2019-06-11 15:30:00,2019-06-12 21:12:00,2019-06-11 06:00:00,2019-06-12 21:40:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191553,B04,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,29.7,39.67,IMPORT,7500.0,0.08,0.008,0.0,8.78,0.0,6060.61,WEST,44753.0,HANDY MAX,ROSARIO,MUNDRA PORT,PORT ELIZABETH,BY ORDER,MT KING GREGORY
429,2020-02-23 07:36:00,2020-02-26 11:36:00,2020-02-23 01:54:00,2020-02-26 12:07:00,Feb 2020,H2,2019-20,MUNDRA,LQD,T1,200594,B04,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,76.0,82.22,IMPORT,41500.0,0.42,0.042,0.0,0.0,4.6,13105.26,WEST,43957.0,HANDY MAX,SAN LORENZO,MUNDRA PORT,PARANAGUA,AS,MT TORM TITAN
488,2019-10-18 11:42:00,2019-10-20 23:18:00,2019-10-18 10:42:00,2019-10-20 23:55:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192645,B04,LIQUID,VEGETABLE OIL NON-HEATED CARGO,CRUDE SOYABEAN OIL,59.6,61.22,IMPORT,29000.0,0.29,0.029,0.0,0.0,0.0,11677.85,WEST,45184.0,HANDY MAX,SAN LORENZO,MUNDRA PORT,PARANAGUA,KANDLA,MT CAPELLA
