,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
771,2019-06-06 10:55:00,2019-06-12 06:45:00,2019-06-05 07:30:00,2019-06-12 07:12:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T2,191524,B06,DRY,FERTILIZER,DAP,139.83,167.7,IMPORT,64883.0,0.65,0.065,0.0,26.63,0.0,11136.06,WEST,66585.0,PANAMAX VESSEL,RAS AL KHAIR,MUNDRA PORT,RAS AL KHAIR,BY ORDER,MV DRAFTVADER
1059,2019-05-06 14:18:00,2019-05-11 08:45:00,2019-05-06 08:38:00,2019-05-11 09:15:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191241,B08,DRY,FERTILIZER,DAP,114.45,120.62,IMPORT,32998.0,0.33,0.033,0.0,5.03,0.0,6919.63,WEST,33822.0,HANDYSIZE,RAS AL KHAIR,MUNDRA PORT,RAS AL KHAIR,BY ORDER,MV ORIENTAL HARMONY
1153,2019-08-01 09:36:00,2019-08-04 22:54:00,2019-08-01 08:30:00,2019-08-04 23:21:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192012,B09,DRY,FERTILIZER,DAP,85.3,86.85,IMPORT,27071.0,0.27,0.027,0.0,0.0,0.0,7616.69,WEST,28316.0,HANDYSIZE,RAS AL KHAIR,MUNDRA PORT,FUJAIRAH,BEDI,MV LOVELAND ISLAND
1166,2019-08-11 09:50:00,2019-08-14 06:38:00,2019-08-11 01:42:00,2019-08-14 07:05:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192078,B09,DRY,FERTILIZER,DAP,68.8,77.38,IMPORT,27238.0,0.27,0.027,0.0,0.0,7.4,9501.63,WEST,28229.0,HANDYSIZE,RAS AL KHAIR,MUNDRA PORT,RAS AL KHAIR,BY ORDER,MV KEN GIANT
1168,2019-08-21 09:00:00,2019-08-25 17:25:00,2019-08-21 08:00:00,2019-08-25 17:55:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192109,B09,DRY,FERTILIZER,DAP,104.42,105.92,IMPORT,57445.0,0.57,0.057,0.0,0.0,0.0,13203.64,WEST,59758.0,PANAMAX VESSEL,O/P CHINA PEOPLE'S REP. OF,MUNDRA PORT,PINGXIANG,KANDLA PORT,MV BEKS CEYDA
1180,2019-09-07 09:17:00,2019-09-15 15:15:00,2019-09-03 05:00:00,2019-09-15 15:42:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T3,192262,B09,DRY,FERTILIZER,DAP,197.97,298.7,IMPORT,48840.0,0.49,0.049,0.0,99.58,0.0,5921.0,WEST,50345.0,HANDY MAX,NANTONG,MUNDRA PORT,SINGAPORE,BEDI,MV IDC FALCON
1181,2019-09-21 16:12:00,2019-09-27 05:54:00,2019-09-16 23:00:00,2019-09-27 06:20:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T3,192361,B09,DRY,FERTILIZER,DAP,133.7,247.33,IMPORT,55230.0,0.55,0.055,0.0,112.25,0.0,9914.14,WEST,57095.0,PANAMAX VESSEL,JORF LASFAR,MUNDRA PORT,SUEZ CANAL,PORT OF PORT SAID,MV TAI SPRING
1182,2019-09-15 16:30:00,2019-09-21 14:44:00,2019-09-14 14:12:00,2019-09-21 15:15:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T3,192309,B09,DRY,FERTILIZER,DAP,142.23,169.05,IMPORT,29081.85,0.29,0.029,0.0,25.5,0.0,4907.18,WEST,62967.85,PANAMAX VESSEL,PORT OF UST LUGA,MUNDRA PORT,PORT SAID,BY ORDER,MV GREAT RAINBOW
1289,2019-09-04 09:18:00,2019-09-13 13:18:00,2019-09-02 13:24:00,2019-09-13 13:48:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T3,192228,B10,DRY,FERTILIZER,DAP,220.0,264.4,IMPORT,54982.0,0.55,0.055,0.0,43.2,0.0,5998.04,WEST,,HANDY MAX,RAS AL KHAIR,MUNDRA PORT LIMITED,FUJAIRAH,BY ORDER,MV SEAPACE
1301,2019-08-17 04:30:00,2019-08-19 20:15:00,2019-08-17 03:46:00,2019-08-19 20:42:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192085,B10,DRY,FERTILIZER,DAP,63.75,64.93,IMPORT,45000.0,0.45,0.045,0.0,0.0,0.0,16941.18,WEST,46194.0,HANDY MAX,NANJING,MUNDRA PORT,SINGAPORE,BY ORDER,MV POSEIDON S
