,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
174,2020-03-21 02:24:00,2020-03-22 02:25:00,2020-03-21 01:30:00,2020-03-22 03:03:00,Mar 2020,H2,2019-20,MUNDRA,LQD,T1,200792,B02,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,24.02,25.55,IMPORT,6259.841,0.06,0.006,0.0,0.0,0.0,6255.5,WEST,41150.0,HANDYSIZE,GALVESTON,MUNDRA PORT,TEXAS CITY,ALBERT VICTOR (BEHERAI),MT NAVIG8 GOAL
240,2019-05-24 10:00:00,2019-05-25 18:45:00,2019-05-24 09:05:00,2019-05-25 19:20:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191406,B03,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,32.75,34.25,IMPORT,16404.738,0.16,0.016,0.0,0.0,0.0,12021.79,WEST,43116.0,HANDY MAX,TEXAS CITY,MUNDRA PORT,PORT SAID,KANDLA PORT,MT SONGA PRIDE
241,2019-05-24 10:00:00,2019-05-25 18:45:00,2019-05-24 09:05:00,2019-05-25 19:20:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191406,B03,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,0.0,0.0,IMPORT,2450.0,0.02,0.002,0.0,0.0,0.0,1795.42,WEST,43116.0,HANDY MAX,TEXAS CITY,MUNDRA PORT,PORT SAID,KANDLA PORT,MT SONGA PRIDE
272,2019-08-12 23:00:00,2019-08-14 14:06:00,2019-08-12 22:24:00,2019-08-14 14:32:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192089,B03,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,39.1,40.13,IMPORT,9789.484,0.1,0.01,0.0,0.0,0.0,6008.89,WEST,45680.0,HANDY MAX,TEXAS CITY,MUNDRA PORT,PORT OF AS-SUWAYS/SUEZ,KANDLA,MT MARITIME MERIDIAN
303,2019-11-27 21:18:00,2019-11-29 13:12:00,2019-11-27 20:00:00,2019-11-29 13:40:00,Nov 2019,H2,2019-20,MUNDRA,LQD,T1,192946,B03,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,39.9,41.67,IMPORT,8994.549,0.09,0.009,0.0,0.0,0.4,5410.26,WEST,,HANDY MAX,GALVESTON,MUNDRA PORT,SUEZ CANAL,KANDLA,MT STENA IMAGE
304,2019-11-27 21:18:00,2019-11-29 13:12:00,2019-11-27 20:00:00,2019-11-29 13:40:00,Nov 2019,H2,2019-20,MUNDRA,LQD,T1,192946,B03,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,0.0,0.0,IMPORT,4800.0,0.05,0.005,0.0,0.0,0.0,2887.22,WEST,,HANDY MAX,GALVESTON,MUNDRA PORT,SUEZ CANAL,KANDLA,MT STENA IMAGE
320,2020-01-03 23:06:00,2020-01-05 15:30:00,2020-01-03 22:25:00,2020-01-05 15:57:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200082,B03,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,40.4,41.53,IMPORT,9917.758,0.1,0.01,0.0,0.0,0.0,5891.74,WEST,26105.198,HANDYSIZE,TEXAS CITY,MUNDRA PORT,SUEZ CANAL,KANDLA,MT MED ATLANTIC
328,2020-01-26 10:12:00,2020-01-27 21:30:00,2020-01-26 09:36:00,2020-01-27 22:00:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200318,B03,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,35.3,36.4,IMPORT,6300.0,0.06,0.006,0.0,0.0,0.0,4283.29,WEST,39478.0,HANDY MAX,GALVESTON,MUNDRA PORT,PORT SAID,KANDLA,MT STENA IMAGINATION
329,2020-01-26 10:12:00,2020-01-27 21:30:00,2020-01-26 09:36:00,2020-01-27 22:00:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200318,B03,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,0.0,0.0,IMPORT,5000.0,0.05,0.005,0.0,0.0,0.0,3399.43,WEST,39478.0,HANDY MAX,GALVESTON,MUNDRA PORT,PORT SAID,KANDLA,MT STENA IMAGINATION
369,2019-08-07 21:18:00,2019-08-09 19:30:00,2019-08-07 18:00:00,2019-08-09 19:55:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,191985,B04,LIQUID,CHEMICAL,DENATURED ETHYL ALCOHOL,46.2,49.92,IMPORT,14402.081,0.14,0.014,0.0,0.0,2.5,7481.6,WEST,40216.0,HANDY MAX,HOUSTON,MUNDRA PORT,DURBAN,MUMBAI PORT,MT MARITIME KELLY ANNE
