,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
175,2020-03-18 11:48:00,2020-03-19 04:05:00,2020-03-18 11:00:00,2020-03-19 04:35:00,Mar 2020,H2,2019-20,MUNDRA,LQD,T1,200781,B02,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,16.28,17.58,EXPORT,2030.203,0.02,0.002,0.0,0.0,0.0,2992.32,WEST,25300.0,HANDYSIZE,MUNDRA PORT,ALGECIRAS,SIKA,HAZIRA,MT NAVIG8 ALMANDINE
221,2019-04-22 05:10:00,2019-04-22 20:44:00,2019-04-22 04:30:00,2019-04-22 21:10:00,Apr 2019,H1,2019-20,MUNDRA,LQD,T1,191103,B03,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,15.57,16.67,EXPORT,1003.831,0.01,0.001,0.0,0.0,0.0,1547.66,WEST,25689.0,HANDYSIZE,SIKA,YANG PU,SIKA,SINGAPORE,MT REBECCA SCHULTE
244,2019-05-10 09:17:00,2019-05-11 00:45:00,2019-05-10 08:36:00,2019-05-11 01:15:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191258,B03,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,15.47,16.65,EXPORT,1549.499,0.02,0.002,0.0,0.0,0.0,2404.39,WEST,18271.0,HANDY MAX,MUNDRA PORT,HUELVA,SIKA,HUELVA,MT OGINO PARK
293,2019-09-30 23:18:00,2019-10-01 14:10:00,2019-09-30 22:30:00,2019-10-01 14:40:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192494,B03,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,14.87,16.17,EXPORT,1555.152,0.02,0.002,0.0,0.0,0.0,2510.56,WEST,15660.0,HANDYSIZE,MUNDRA PORT,ANTWERP,SIKA,HAZIRA,MT HOUYOSHI PARK
357,2019-08-31 10:10:00,2019-09-01 08:24:00,2019-08-31 08:30:00,2019-09-01 08:51:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T1,192244,B04,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,22.23,24.35,EXPORT,0.938000000000102,0.0,0.0,0.0,0.0,0.9,1.01,WEST,25890.0,HANDY MAX,MUNDRA PORT,ANTWERP,KANDLA,SIKA,MT STOLT SNELAND
358,2019-08-31 10:10:00,2019-09-01 08:24:00,2019-08-31 08:30:00,2019-09-01 08:51:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192244,B04,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,0.0,0.0,EXPORT,1504.484,0.02,0.002,0.0,0.0,0.0,1624.03,WEST,25890.0,HANDY MAX,MUNDRA PORT,ANTWERP,KANDLA,SIKA,MT STOLT SNELAND
366,2019-07-31 11:48:00,2019-08-01 07:06:00,2019-07-30 12:54:00,2019-08-01 07:39:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,191981,B04,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,19.3,42.75,EXPORT,0.0,0.0,0.0,0.0,0.0,21.0,0.0,WEST,,HANDYSIZE,MUNDRA PORT,ANTWERP,HAZIRA,SIKA,MT MID FALCON
367,2019-07-31 11:48:00,2019-08-01 07:06:00,2019-07-30 12:54:00,2019-08-01 07:39:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191981,B04,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,0.0,0.0,EXPORT,1466.762,0.01,0.001,0.0,0.0,0.0,1823.95,WEST,,HANDYSIZE,MUNDRA PORT,ANTWERP,HAZIRA,SIKA,MT MID FALCON
382,2019-07-04 12:48:00,2019-07-05 01:50:00,2019-07-04 12:00:00,2019-07-05 02:21:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191727,B04,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,0.0,0.0,EXPORT,1045.264,0.01,0.001,0.0,0.0,0.0,1924.78,WEST,16242.0,HANDYSIZE,MUNDRA PORT,ANTWERP,SIKA,HAZIRA,MT TIVOLI PARK
435,2020-03-26 23:08:00,2020-03-27 21:15:00,2020-03-25 13:40:00,2020-03-27 21:45:00,Mar 2020,H2,2019-20,MUNDRA,LQD,T1,200898,B04,LIQUID,CHEMICAL,DIETHYLENE GLYCOL,22.12,56.08,EXPORT,2547.202,0.03,0.003,0.0,0.0,32.83,2764.11,WEST,102607.0,HANDYSIZE,MUNDRA PORT,ZHANGJIAGANG,HAZIRA,SIKA,MT NAVIG8 SIRIUS
