,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
16,2019-07-15 15:30:00,2019-07-19 00:42:00,2019-07-15 08:12:00,2019-07-19 01:15:00,Jul 2019,H1,2019-20,MUNDRA,BNKR,T1,191841,B01,LIQUID,PETROLEUM BLACK OIL,F. O.,81.2,89.05,EXPORT,399.595,0.0,0.0,0.0,6.8,0.0,118.11,WEST,43531.0,PANAMAX VESSEL,,MUNDRA PORT,ROSARIO,NEW MANGALORE,MT JO ROWAN
28,2019-08-07 07:24:00,2019-08-13 12:36:00,2019-08-07 04:00:00,2019-08-13 13:03:00,Aug 2019,H1,2019-20,MUNDRA,BNKR,T1,192026,B01,LIQUID,PETROLEUM BLACK OIL,F. O.,149.2,153.05,EXPORT,194.799,0.0,0.0,0.0,0.0,2.9,31.33,WEST,53850.0,HANDY MAX,PARANAGUA,MUNDRA PORT,ELIZABETH,PORT OF DUBAY/DUBAI,MT ARDMORE EXPLORER
45,2019-09-19 17:00:00,2019-09-20 13:34:00,2019-09-19 13:24:00,2019-09-20 13:59:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T1,192378,B01,LIQUID,PETROLEUM BLACK OIL,F. O.,20.57,24.58,IMPORT,6436.602,0.06,0.006,0.0,3.1,0.0,7511.11,WEST,,HANDYSIZE,HAMRIYA,MUNDRA PORT,HAMRIYA,BY ORDER,MT POLARIS OCEAN
46,2019-09-24 23:00:00,2019-09-25 22:24:00,2019-09-24 22:15:00,2019-09-26 19:35:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T1,192441,B01,LIQUID,PETROLEUM BLACK OIL,F. O.,23.4,45.33,IMPORT,12107.61,0.12,0.012,0.0,0.0,0.0,12418.06,WEST,12371.0,HANDYSIZE,HAMRIYA,MUNDRA PORT,HAMRIYA,BY ORDER,MT AGDASH
48,2019-10-07 10:36:00,2019-10-07 21:00:00,2019-10-07 10:36:00,2019-10-07 21:15:00,Oct 2019,H2,2019-20,MUNDRA,BNKR,T1,192547,B01,LIQUID,PETROLEUM BLACK OIL,F. O.,10.4,10.65,EXPORT,1421.182,0.01,0.001,0.0,0.0,0.0,3279.65,WEST,,HANDYSIZE,MUNDRA PORT,BEDI,SIKA,BEDI,MT AEL II
120,2019-07-26 22:12:00,2019-07-30 00:48:00,2019-07-26 07:06:00,2019-07-30 01:19:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191953,B02,LIQUID,PETROLEUM BLACK OIL,F. O.,0.0,0.0,IMPORT,31934.148,0.32,0.032,0.0,0.0,0.0,10273.72,WEST,34609.0,HANDYSIZE,HAMRIYA,MUNDRA PORT,HAMRIYA,FUJAIRAH,MT POLARIS GALAXY
151,2019-05-31 02:32:00,2019-06-01 01:45:00,2019-05-31 01:10:00,2019-06-02 04:15:00,Jun 2019,H1,2019-20,MUNDRA,BNKR,T1,191474,B02,LIQUID,PETROLEUM BLACK OIL,F. O.,23.22,51.08,EXPORT,789.887,0.01,0.001,0.0,0.0,1.37,816.54,WEST,,HANDYSIZE,MUNDRA PORT,SIKA,KANDLA,SIKA,MT AEL II
154,2019-05-08 12:24:00,2019-05-11 19:15:00,2019-05-08 12:10:00,2019-05-11 19:30:00,May 2019,H1,2019-20,MUNDRA,BNKR,T1,191247,B02,LIQUID,PETROLEUM BLACK OIL,F. O.,78.85,79.33,EXPORT,1798.797,0.02,0.002,0.0,0.0,0.0,547.51,WEST,,HANDYSIZE,MUNDRA PORT,BY ORDER,VADINAR,SIKA,MT AEL II
168,2019-04-06 07:06:00,2019-04-09 03:30:00,2019-04-05 11:30:00,2019-04-09 04:00:00,Apr 2019,H1,2019-20,MUNDRA,BNKR,T1,190902,B02,LIQUID,PETROLEUM BLACK OIL,F. O.,68.4,88.5,EXPORT,399.58,0.0,0.0,0.0,0.0,18.9,140.2,WEST,35337.0,PANAMAX VESSEL,SAN LORENZO,MUNDRA PORT,SAN LORENZO,INAGUA,MT OMODOS
217,2019-09-07 09:30:00,2019-09-07 20:40:00,2019-09-07 06:42:00,2019-09-07 21:10:00,Sep 2019,H1,2019-20,MUNDRA,BNKR,T1,192300,B02,LIQUID,PETROLEUM BLACK OIL,F. O.,11.17,14.47,EXPORT,598.876,0.01,0.001,0.0,2.55,0.0,1287.14,WEST,,HANDYSIZE,MUNDRA PORT,SIKA,KANDLA,SIKA,MT AEL II
