,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
66,2019-12-04 07:48:00,2019-12-05 15:12:00,2019-12-03 21:18:00,2019-12-05 15:35:00,Dec 2019,H2,2019-20,MUNDRA,LQD,T1,193069,B01,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),31.4,42.28,IMPORT,6010.684,0.06,0.006,0.0,3.82,6.2,4594.15,WEST,,HANDYSIZE,SOHAR,MUNDRA PORT,SOHAR,BY ORDER,MT PALOMAR
69,2019-12-23 00:24:00,2019-12-25 10:24:00,2019-12-22 21:00:00,2019-12-25 10:45:00,Dec 2019,H2,2019-20,MUNDRA,HPCL,T1,193202,B01,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),58.0,61.75,IMPORT,61428.326,0.61,0.061,0.0,0.0,2.67,25418.62,WEST,63282.0,PANAMAX VESSEL,,MUNDRA PORT,FUJAIRAH,FUJAIRAH,MT FOTINI LADY
70,2019-12-31 21:36:00,2020-01-03 20:48:00,2019-12-31 20:30:00,2020-01-03 21:15:00,Jan 2020,H2,2019-20,MUNDRA,HPCL,T1,193228,B01,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),71.2,72.75,IMPORT,67991.533,0.68,0.068,0.0,0.0,0.33,22918.49,WEST,71075.0,AFRAMAX,AL JUBAIL,MUNDRA PORT,KHOR AL FAKKAN,JUBAIL,MT STI CARNABY
119,2019-07-26 22:12:00,2019-07-30 00:48:00,2019-07-26 07:06:00,2019-07-30 01:19:00,Jul 2019,H1,2019-20,MUNDRA,BNKR,T1,191953,B02,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),74.6,90.22,EXPORT,49.74,0.0,0.0,0.0,0.0,13.97,16.0,WEST,34609.0,HANDYSIZE,HAMRIYA,MUNDRA PORT,HAMRIYA,FUJAIRAH,MT POLARIS GALAXY
152,2019-05-31 02:32:00,2019-06-01 01:45:00,2019-05-31 01:10:00,2019-06-02 04:15:00,May 2019,H1,2019-20,MUNDRA,BNKR,T1,191474,B02,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),0.0,0.0,EXPORT,39.46,0.0,0.0,0.0,0.0,0.0,40.79,WEST,,HANDYSIZE,MUNDRA PORT,SIKA,KANDLA,SIKA,MT AEL II
153,2019-05-31 02:32:00,2019-06-01 01:45:00,2019-05-31 01:10:00,2019-06-02 04:15:00,May 2019,H1,2019-20,MUNDRA,BNKR,T1,191474,B02,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),0.0,0.0,EXPORT,5.17,0.0,0.0,0.0,0.0,0.0,5.34,WEST,,HANDYSIZE,MUNDRA PORT,SIKA,KANDLA,SIKA,MT AEL II
183,2020-01-22 01:24:00,2020-01-23 16:06:00,2020-01-21 20:18:00,2020-01-23 16:32:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200313,B02,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),38.7,44.23,IMPORT,5992.958,0.06,0.006,0.0,4.5,0.0,3716.56,WEST,7527.0,HANDYSIZE,HAMRIYA,MUNDRA PORT,HAMRIYA,SOHAR,MT SEA KING
192,2019-12-25 03:48:00,2019-12-25 16:42:00,2019-12-25 03:48:00,2019-12-25 23:45:00,Dec 2019,H2,2019-20,MUNDRA,BNKR,T1,193216,B02,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),12.9,19.95,EXPORT,199.43,0.0,0.0,0.0,0.0,0.0,371.03,WEST,,HANDYSIZE,MUNDRA PORT,SIKA,SIKA,KANDLA,MT AEL II
234,2019-06-01 16:06:00,2019-06-04 03:48:00,2019-06-01 15:30:00,2019-06-04 04:15:00,Jun 2019,H1,2019-20,MUNDRA,HPCL,T1,191463,B03,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),59.7,60.75,IMPORT,64981.745,0.65,0.065,0.0,0.0,0.0,26123.31,WEST,67652.0,PANAMAX VESSEL,SOHAR,MUNDRA PORT,SOHAR,FUJAIRAH,MT NORDIC TRISTAN
251,2019-06-27 06:48:00,2019-07-01 05:36:00,2019-06-24 10:00:00,2019-07-01 06:03:00,Jul 2019,H1,2019-20,MUNDRA,HPCL,T1,191677,B03,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),94.8,164.05,IMPORT,547.807000000001,0.01,0.001,0.0,0.0,67.48,138.69,WEST,68211.0,PANAMAX VESSEL,FUJAIRAH,MUNDRA PORT,FUJAIRAH,BY ORDER,MT WEMBLEY
252,2019-06-27 06:48:00,2019-07-01 05:36:00,2019-06-24 10:00:00,2019-07-01 06:03:00,Jun 2019,H1,2019-20,MUNDRA,HPCL,T1,191677,B03,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),0.0,0.0,IMPORT,63859.0,0.64,0.064,0.0,0.0,0.0,16166.84,WEST,68211.0,PANAMAX VESSEL,FUJAIRAH,MUNDRA PORT,FUJAIRAH,BY ORDER,MT WEMBLEY
255,2019-06-16 11:54:00,2019-06-19 00:30:00,2019-06-16 11:06:00,2019-06-19 01:00:00,Jun 2019,H1,2019-20,MUNDRA,HPCL,T1,191621,B03,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),60.6,61.9,IMPORT,61924.417,0.62,0.062,0.0,0.0,0.0,24524.52,WEST,64076.0,PANAMAX VESSEL,RUWAIS,MUNDRA PORT,FUJAIRAH,SOHAR,MT ANALIPSI LADY
259,2019-07-08 07:40:00,2019-07-09 13:10:00,2019-07-08 07:10:00,2019-07-09 13:30:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191788,B03,LIQUID,PETROLEUM WHITE OIL,GAS OIL (HSD),29.5,30.33,IMPORT,6597.961,0.07,0.007,0.0,0.0,0.0,5367.83,WEST,18487.0,HANDYSIZE,SOHAR,MUNDRA PORT,SOHAR,KERTEH,MT SAEHAN INTRASIA
