,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
2,2019-04-20 19:30:00,2019-04-22 21:30:00,2019-04-20 18:54:00,2019-04-22 21:55:00,Apr 2019,H1,2019-20,MUNDRA,HPCL,T1,191106,B01,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,50.0,51.02,IMPORT,39828.331,0.4,0.04,0.0,0.0,0.0,19117.6,WEST,42922.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,VADINAR,MT AGILITY
6,2019-05-08 08:18:00,2019-05-09 22:45:00,2019-05-08 07:48:00,2019-05-09 23:09:00,May 2019,H1,2019-20,MUNDRA,HPCL,T1,191262,B01,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,38.45,39.35,IMPORT,39865.408,0.4,0.04,0.0,0.0,0.0,24883.48,WEST,,HANDY MAX,SIKA,MUNDRA PORT,SIKA,SIKA,MT COURAGE
11,2019-06-08 08:00:00,2019-06-10 19:54:00,2019-06-08 07:18:00,2019-06-10 20:21:00,Jun 2019,H1,2019-20,MUNDRA,HPCL,T1,191536,B01,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,59.9,61.05,IMPORT,64958.49,0.65,0.065,0.0,0.0,0.0,26026.77,WEST,67500.0,PANAMAX VESSEL,JUBAIL,MUNDRA PORT,JUBAIL,SIKA,MT NORDMARS
20,2019-07-25 10:30:00,2019-07-27 12:16:00,2019-07-25 10:00:00,2019-07-27 12:45:00,Jul 2019,H1,2019-20,MUNDRA,HPCL,T1,191937,B01,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,49.77,50.75,IMPORT,39962.066,0.4,0.04,0.0,0.0,0.0,19271.73,WEST,45553.0,HANDY MAX,SIKA,MUNDRA PORT,SIKA,VADINAR,MT JAG PRABHA
25,2019-07-31 17:48:00,2019-08-01 21:00:00,2019-07-31 17:18:00,2019-08-01 21:27:00,Aug 2019,H1,2019-20,MUNDRA,HPCL,T1,191994,B01,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,27.2,28.15,IMPORT,13235.814,0.13,0.013,0.0,0.0,0.0,11678.66,WEST,41445.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,GOA,MT JAG PRABHA
27,2019-07-31 17:48:00,2019-08-01 21:00:00,2019-07-31 17:18:00,2019-08-01 21:27:00,Jul 2019,H1,2019-20,MUNDRA,HPCL,T1,191994,B01,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,0.0,0.0,IMPORT,200.0,0.0,0.0,0.0,0.0,0.0,176.47,WEST,41445.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,GOA,MT JAG PRABHA
33,2019-08-14 18:42:00,2019-08-16 18:15:00,2019-08-14 18:00:00,2019-08-16 18:45:00,Aug 2019,H1,2019-20,MUNDRA,HPCL,T1,192090,B01,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,47.55,48.75,IMPORT,41942.963,0.42,0.042,0.0,0.0,0.0,21169.95,WEST,47621.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,MUMBAI PORT,MT JAG PRABHA
44,2019-09-16 05:42:00,2019-09-17 11:20:00,2019-09-16 05:00:00,2019-09-17 11:57:00,Sep 2019,H1,2019-20,MUNDRA,HPCL,T1,192365,B01,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,29.63,30.95,IMPORT,26609.625,0.27,0.027,0.0,0.0,0.0,21551.1,WEST,31496.0,HANDY MAX,,MUNDRA PORT,MUMBAI PORT,VADINAR,MT COURAGE
136,2019-06-10 11:54:00,2019-06-11 13:48:00,2019-06-07 12:00:00,2019-06-11 14:21:00,Jun 2019,H1,2019-20,MUNDRA,HPCL,T1,191546,B02,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,25.9,98.35,IMPORT,14891.696,0.15,0.015,0.0,0.18,71.0,13799.25,WEST,45553.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,MUMBAI PORT,MT JAG PRABHA
219,2019-04-01 20:24:00,2019-04-03 10:36:00,2019-04-01 19:42:00,2019-04-03 11:03:00,Apr 2019,H1,2019-20,MUNDRA,HPCL,T1,190933,B03,LIQUID,PETROLEUM WHITE OIL,HIGH SPEED DIESEL,38.2,39.35,IMPORT,42934.974,0.43,0.043,0.0,0.0,0.0,26974.85,WEST,47999.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,SIKA,MT JAG PRABHA
