,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
769,2019-08-30 20:12:00,2019-09-03 17:18:00,2019-08-28 22:36:00,2019-09-03 18:06:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192234,B06,DRY,SALT,INDUSTRIAL SALT,93.1,139.5,EXPORT,40020.0,0.4,0.04,0.0,0.0,44.58,10316.65,WEST,16235.0,HANDY MAX,MUNDRA PORT,NIIHAMA,NAVALAKHI,NIIHAMA,MV DARYA LAKSHMI
770,2019-08-30 20:12:00,2019-09-03 17:18:00,2019-08-28 22:36:00,2019-09-03 18:06:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192234,B06,DRY,SALT,INDUSTRIAL SALT,0.0,0.0,EXPORT,14200.0,0.14,0.014,0.0,0.0,0.0,3660.58,WEST,16235.0,HANDY MAX,MUNDRA PORT,NIIHAMA,NAVALAKHI,NIIHAMA,MV DARYA LAKSHMI
780,2019-05-30 21:48:00,2019-06-03 00:30:00,2019-05-30 21:00:00,2019-06-03 01:05:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T2,191479,B06,DRY,SALT,INDUSTRIAL SALT,74.7,76.08,EXPORT,43500.0,0.44,0.044,0.0,0.0,0.0,13975.9,WEST,17315.37,PANAMAX VESSEL,MUNDRA PORT,OTHER PORTS - JAPAN,MAGDALLA,NICHINAN,MV CLIPPER INNOVATION
781,2019-05-30 21:48:00,2019-06-03 00:30:00,2019-05-30 21:00:00,2019-06-03 01:05:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191479,B06,DRY,SALT,INDUSTRIAL SALT,0.0,0.0,EXPORT,15000.0,0.15,0.015,0.0,0.0,0.0,4819.28,WEST,17315.37,PANAMAX VESSEL,MUNDRA PORT,OTHER PORTS - JAPAN,MAGDALLA,NICHINAN,MV CLIPPER INNOVATION
782,2019-06-04 03:12:00,2019-06-06 01:30:00,2019-06-04 02:24:00,2019-06-06 02:00:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T2,191483,B06,DRY,SALT,INDUSTRIAL SALT,46.3,47.6,EXPORT,35730.0,0.36,0.036,0.0,0.0,0.0,18520.95,WEST,15200.0,HANDYSIZE,MUNDRA PORT,VARIOUS,DAHEJ,SINGAPORE,MV OASIS ISLAND
783,2019-05-25 00:00:00,2019-05-27 18:56:00,2019-05-24 23:20:00,2019-05-27 19:25:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191429,B06,DRY,SALT,INDUSTRIAL SALT,66.93,68.08,EXPORT,55450.0,0.55,0.055,0.0,0.0,0.0,19882.47,WEST,18509.55,HANDY MAX,MUNDRA PORT,YEOSU,MUMBAI PORT,SINGAPORE,MV OBSERVATOR
784,2019-05-15 17:51:00,2019-05-20 00:16:00,2019-05-14 18:06:00,2019-05-20 00:51:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191302,B06,DRY,SALT,INDUSTRIAL SALT,102.42,126.75,EXPORT,70600.0,0.71,0.071,0.0,6.57,16.2,16544.18,WEST,,PANAMAX VESSEL,MUNDRA PORT,BY ORDER,FUJAIRAH,SINGAPORE,MV SUMMER LADY
785,2019-05-20 01:42:00,2019-05-23 22:00:00,2019-05-16 20:06:00,2019-05-23 22:36:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191318,B06,DRY,SALT,INDUSTRIAL SALT,92.3,170.5,EXPORT,55222.0,0.55,0.055,0.0,76.8,0.0,14358.92,WEST,,HANDY MAX,MUNDRA PORT,NINGBO,DHARAMTAR,NINGBO,MV APJ JAI
788,2019-05-11 06:05:00,2019-05-15 13:15:00,2019-05-07 18:30:00,2019-05-15 13:48:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191250,B06,DRY,SALT,INDUSTRIAL SALT,103.17,187.3,EXPORT,55440.0,0.55,0.055,0.0,83.0,0.0,12897.19,WEST,14154.0,HANDY MAX,MUNDRA PORT,NINGBO,KARACHI,SINGAPORE,MV TRENTA
872,2019-08-30 19:36:00,2019-09-04 16:18:00,2019-08-30 18:30:00,2019-09-04 16:57:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192206,B07,DRY,SALT,INDUSTRIAL SALT,116.7,118.45,EXPORT,25350.0,0.25,0.025,0.0,0.0,0.3,5213.37,WEST,15277.36,HANDYSIZE,MUNDRA PORT,KAOHSIUNG,DAHEJ,SINGAPORE,MV DARYA KRISHNA
873,2019-08-30 19:36:00,2019-09-04 16:18:00,2019-08-30 18:30:00,2019-09-04 16:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192206,B07,DRY,SALT,INDUSTRIAL SALT,0.0,0.0,EXPORT,6150.0,0.06,0.006,0.0,0.0,0.0,1264.78,WEST,15277.36,HANDYSIZE,MUNDRA PORT,KAOHSIUNG,DAHEJ,SINGAPORE,MV DARYA KRISHNA
880,2019-07-15 19:20:00,2019-07-17 06:12:00,2019-07-14 23:40:00,2019-07-17 06:39:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191804,B07,DRY,SALT,INDUSTRIAL SALT,34.87,54.98,EXPORT,19000.0,0.19,0.019,0.0,7.0,11.83,13078.39,WEST,20189.0,HANDYSIZE,MUNDRA PORT,NAOETSU,KANDLA,SINGAPORE,MV IBI
997,2019-05-31 23:30:00,2019-06-03 07:12:00,2019-05-31 13:48:00,2019-06-03 07:40:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T2,191484,B08,DRY,SALT,INDUSTRIAL SALT,55.7,65.87,EXPORT,33000.0,0.33,0.033,0.0,0.58,8.2,14219.03,WEST,13982.0,HANDYSIZE,MUNDRA PORT,JURONG,KANDLA,JURONG,MV LUCHOW
1220,2019-11-23 16:05:00,2019-11-27 05:24:00,2019-11-23 15:20:00,2019-11-27 05:55:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T3,192964,B09,DRY,SALT,INDUSTRIAL SALT,0.0,0.0,EXPORT,77000.0,0.77,0.077,0.0,0.0,0.0,21660.48,WEST,21557.2,PANAMAX VESSEL,MUNDRA PORT,BY ORDER,MORMUGAO,MAILIAO,MV BBG FANGCHENG
