,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
36,2019-08-23 19:54:00,2019-08-24 06:30:00,2019-08-23 11:30:00,2019-08-24 06:55:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192170,B01,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,10.6,19.42,IMPORT,1046.672,0.01,0.001,0.0,7.17,0.48,2369.82,WEST,,HANDYSIZE,MESAIEED,MUNDRA PORT,FUJAIRAH,KANDLA,MT SG FRIENDSHIP
113,2020-03-29 17:24:00,2020-03-30 08:30:00,2020-03-29 10:54:00,2020-03-30 08:55:00,Mar 2020,H2,2019-20,MUNDRA,LQD,T1,200919,B01,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,15.1,22.02,IMPORT,1903.313,0.02,0.002,0.0,6.1,0.0,3025.13,WEST,12430.19,HANDYSIZE,VENTSPILS,MUNDRA PORT,KANDLA PORT,KARACHI,MT SUNRISE RAY
134,2019-06-08 05:54:00,2019-06-08 22:48:00,2019-06-08 02:00:00,2019-06-08 23:15:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191541,B02,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,16.9,21.25,IMPORT,1037.177,0.01,0.001,0.0,3.5,0.0,1472.91,WEST,13554.0,HANDYSIZE,AL JUBAIL,MUNDRA PORT,AL JUBAIL,HALDIA,MT DELIA I
135,2019-06-08 05:54:00,2019-06-08 22:48:00,2019-06-08 02:00:00,2019-06-08 23:15:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191541,B02,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,0.0,0.0,IMPORT,1050.0,0.01,0.001,0.0,0.0,0.0,1491.12,WEST,13554.0,HANDYSIZE,AL JUBAIL,MUNDRA PORT,AL JUBAIL,HALDIA,MT DELIA I
143,2019-05-09 21:06:00,2019-05-10 23:24:00,2019-05-09 20:42:00,2019-05-10 23:50:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191273,B02,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,26.3,27.13,IMPORT,1050.0,0.01,0.001,0.0,0.0,0.0,958.17,WEST,15358.7,HANDYSIZE,AL JUBAIL,MUNDRA PORT,AL JUBAIL,SIKA,MT SG FRIENDSHIP
144,2019-05-09 21:06:00,2019-05-10 23:24:00,2019-05-09 20:42:00,2019-05-10 23:50:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191273,B02,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,0.0,0.0,IMPORT,1050.0,0.01,0.001,0.0,0.0,0.0,958.17,WEST,15358.7,HANDYSIZE,AL JUBAIL,MUNDRA PORT,AL JUBAIL,SIKA,MT SG FRIENDSHIP
145,2019-05-09 21:06:00,2019-05-10 23:24:00,2019-05-09 20:42:00,2019-05-10 23:50:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191273,B02,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,0.0,0.0,IMPORT,3666.38,0.04,0.004,0.0,0.0,0.0,3345.75,WEST,15358.7,HANDYSIZE,AL JUBAIL,MUNDRA PORT,AL JUBAIL,SIKA,MT SG FRIENDSHIP
226,2019-05-04 21:10:00,2019-05-05 18:40:00,2019-05-04 20:30:00,2019-05-05 19:03:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191234,B03,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,21.5,22.55,IMPORT,1050.0,0.01,0.001,0.0,0.0,0.0,1172.09,WEST,12114.0,PANAMAX VESSEL,AL JUBAIL,MUNDRA PORT,AL JUBAIL,HAZIRA,MT BAY SPIRIT
227,2019-05-04 21:10:00,2019-05-05 18:40:00,2019-05-04 20:30:00,2019-05-05 19:03:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191234,B03,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,0.0,0.0,IMPORT,1050.0,0.01,0.001,0.0,0.0,0.0,1172.09,WEST,12114.0,PANAMAX VESSEL,AL JUBAIL,MUNDRA PORT,AL JUBAIL,HAZIRA,MT BAY SPIRIT
228,2019-05-04 21:10:00,2019-05-05 18:40:00,2019-05-04 20:30:00,2019-05-05 19:03:00,May 2019,H1,2019-20,MUNDRA,LQD,T1,191234,B03,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,0.0,0.0,IMPORT,2615.184,0.03,0.003,0.0,0.0,0.0,2919.28,WEST,12114.0,PANAMAX VESSEL,AL JUBAIL,MUNDRA PORT,AL JUBAIL,HAZIRA,MT BAY SPIRIT
253,2019-06-23 21:40:00,2019-06-27 02:30:00,2019-06-23 20:35:00,2019-06-27 02:57:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191668,B03,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,76.83,78.37,IMPORT,3089.23,0.03,0.003,0.0,0.0,0.0,964.97,WEST,9156.0,OTHER VESSEL,AL JUBAIL,MUNDRA PORT,AL JUBAIL,BY ORDER,MT MARIGOLD
288,2019-09-26 04:24:00,2019-09-27 06:27:00,2019-09-26 03:54:00,2019-09-27 06:52:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T1,192421,B03,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,26.05,26.97,IMPORT,2094.008,0.02,0.002,0.0,0.0,0.0,1929.22,WEST,14520.06,HANDYSIZE,ALGECIRAS,MUNDRA PORT,MUMBAI PORT,KANDLA,MT FAIRCHEM FRIESIAN
289,2019-09-26 04:24:00,2019-09-27 06:27:00,2019-09-26 03:54:00,2019-09-27 06:52:00,Sep 2019,H1,2019-20,MUNDRA,LQD,T1,192421,B03,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,0.0,0.0,IMPORT,1037.418,0.01,0.001,0.0,0.0,0.0,955.78,WEST,14520.06,HANDYSIZE,ALGECIRAS,MUNDRA PORT,MUMBAI PORT,KANDLA,MT FAIRCHEM FRIESIAN
290,2019-10-02 16:44:00,2019-10-04 00:06:00,2019-10-02 06:45:00,2019-10-04 00:33:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192498,B03,LIQUID,CHEMICAL,LINEAR ALKYL BENZENE,31.37,41.8,IMPORT,258.285,0.0,0.0,0.0,9.2,0.0,197.63,WEST,11810.0,HANDYSIZE,ALGECIRAS,MUNDRA PORT,PORT QASIM,SINGAPORE,MT CHEM SINGAPORE
