,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
56,2019-10-31 12:54:00,2019-11-01 19:18:00,2019-10-31 12:00:00,2019-11-01 19:57:00,Nov 2019,H2,2019-20,MUNDRA,LPG,T1,192752,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,4478.0,0.04,0.004,0.0,0.0,0.0,3535.26,WEST,48047.0,MEDIUM GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,HALDIA,LPG/C LAVENDER PASSAGE
57,2019-10-31 12:54:00,2019-11-01 19:18:00,2019-10-31 12:00:00,2019-11-01 19:57:00,Oct 2019,H2,2019-20,MUNDRA,LPG,T1,192752,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,4382.0,0.04,0.004,0.0,0.0,0.0,3459.47,WEST,48047.0,MEDIUM GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,HALDIA,LPG/C LAVENDER PASSAGE
65,2019-11-27 13:18:00,2019-11-28 21:54:00,2019-11-27 12:36:00,2019-11-28 22:33:00,Nov 2019,H2,2019-20,MUNDRA,LPG,T1,193018,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,10140.0,0.1,0.01,0.0,0.0,0.0,7465.03,WEST,53556.0,LARGE GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,HALDIA,LPG/C BW ENERGY
68,2019-12-18 15:00:00,2019-12-20 01:24:00,2019-12-18 14:00:00,2019-12-20 01:57:00,Dec 2019,H2,2019-20,MUNDRA,LPG,T1,193172,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,12638.0,0.13,0.013,0.0,0.0,0.0,8817.21,WEST,3995.0,MEDIUM GAS CARRIER,MENA AL-AHMADI,MUNDRA PORT,MINA AL AHMADI,KANDLA,LPG/C JAG VASANT
72,2020-01-03 03:30:00,2020-01-04 16:33:00,2020-01-03 02:45:00,2020-01-04 17:03:00,Jan 2020,H2,2019-20,MUNDRA,LPG,T1,200086,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,12900.0,0.13,0.013,0.0,0.0,0.0,8356.28,WEST,58691.0,LARGE GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,KANDLA,LPG/C CAPTAIN JOHN NP
76,2020-01-16 03:12:00,2020-01-17 19:25:00,2020-01-16 02:00:00,2020-01-17 19:50:00,Jan 2020,H2,2019-20,MUNDRA,LPG,T1,200220,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,8500.0,0.09,0.009,0.0,0.0,0.0,5072.52,WEST,,MEDIUM GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,KANDLA,LPG/C GAS COURAGE
80,2020-01-22 21:24:00,2020-01-24 13:12:00,2020-01-22 20:30:00,2020-01-25 13:45:00,Jan 2020,H2,2019-20,MUNDRA,LPG,T1,200304,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,15000.0,0.15,0.015,0.0,0.0,0.0,9045.23,WEST,,MEDIUM GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,MUMBAI PORT,LPG/C JAG VASANT
82,2020-02-01 03:00:00,2020-02-03 08:54:00,2020-02-01 01:54:00,2020-02-03 09:25:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200411,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,23592.0,0.24,0.024,0.0,0.0,0.0,10504.79,WEST,51826.0,LARGE GAS CARRIER,RUWAIS,MUNDRA PORT,RUWAIS,RASLAFFAN,LPG/C MAREENA GAS
84,2020-02-08 06:42:00,2020-02-09 15:48:00,2020-02-03 13:30:00,2020-02-09 16:15:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200419,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,12505.31,0.13,0.013,0.0,0.0,0.0,9067.29,WEST,41276.0,LARGE GAS CARRIER,RASTANURA,MUNDRA PORT,RASTANURA,RASLAFFAN,LPG/C JAG VIRAAT
85,2020-02-20 21:18:00,2020-02-22 00:30:00,2020-02-20 20:00:00,2020-02-22 00:57:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200571,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,27.2,28.95,IMPORT,19340.0,0.19,0.019,0.0,0.0,0.0,17064.71,WEST,41276.0,LARGE GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,NEW MANGALORE,LPG/C JAG VIRAAT
86,2020-02-20 21:18:00,2020-02-22 00:30:00,2020-02-20 20:00:00,2020-02-22 00:57:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200571,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,2200.0,0.02,0.002,0.0,0.0,0.0,1941.18,WEST,41276.0,LARGE GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,NEW MANGALORE,LPG/C JAG VIRAAT
89,2020-02-23 00:36:00,2020-02-24 17:48:00,2020-02-22 23:30:00,2020-02-24 18:15:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200604,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,1687.33,0.02,0.002,0.0,0.0,0.0,982.91,WEST,21845.0,MEDIUM GAS CARRIER,PARAS TANURA,MUNDRA PORT LIMITED,RASTANURA,KANDLA,LPG/C BRUSSELS
90,2020-02-23 00:36:00,2020-02-24 17:48:00,2020-02-22 23:30:00,2020-02-24 18:15:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200604,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG PROPANE,0.0,0.0,IMPORT,5848.78,0.06,0.006,0.0,0.0,0.0,3407.06,WEST,21845.0,MEDIUM GAS CARRIER,PARAS TANURA,MUNDRA PORT LIMITED,RASTANURA,KANDLA,LPG/C BRUSSELS
