,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
13,2019-06-22 17:54:00,2019-06-23 09:42:00,2019-06-21 03:00:00,2019-06-23 10:09:00,Jun 2019,H1,2019-20,MUNDRA,LQD,T1,191669,B01,LIQUID,CHEMICAL,METHANOL,15.8,55.15,IMPORT,3000.0,0.03,0.003,0.0,0.65,37.67,4556.96,WEST,23297.67,HANDYSIZE,BUSHEHR,MUNDRA PORT,BUSHEHR,HAZIRA,MT EVERRICH 7
21,2019-07-27 15:12:00,2019-07-29 04:42:00,2019-07-27 08:54:00,2019-07-29 05:13:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191977,B01,LIQUID,CHEMICAL,METHANOL,37.5,44.32,IMPORT,10000.0,0.1,0.01,0.0,0.0,5.42,6400.0,WEST,,PANAMAX VESSEL,SOHAR,MUNDRA PORT,SOHAR,HAZIRA,MT SAFE SINO
22,2019-07-27 15:12:00,2019-07-29 04:42:00,2019-07-27 08:54:00,2019-07-29 05:13:00,Jul 2019,H1,2019-20,MUNDRA,LQD,T1,191977,B01,LIQUID,CHEMICAL,METHANOL,0.0,0.0,IMPORT,2000.0,0.02,0.002,0.0,0.0,0.0,1280.0,WEST,,PANAMAX VESSEL,SOHAR,MUNDRA PORT,SOHAR,HAZIRA,MT SAFE SINO
31,2019-08-11 13:54:00,2019-08-12 16:15:00,2019-08-10 17:48:00,2019-08-12 16:45:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192086,B01,LIQUID,CHEMICAL,METHANOL,26.35,46.95,IMPORT,6000.0,0.06,0.006,0.0,0.0,19.58,5464.9,WEST,35775.0,PANAMAX VESSEL,SOHAR,MUNDRA PORT,SOHAR,KANDLA,MT CHAMTANG
32,2019-08-11 13:54:00,2019-08-12 16:15:00,2019-08-10 17:48:00,2019-08-12 16:45:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192086,B01,LIQUID,CHEMICAL,METHANOL,0.0,0.0,IMPORT,2000.0,0.02,0.002,0.0,0.0,0.0,1821.63,WEST,35775.0,PANAMAX VESSEL,SOHAR,MUNDRA PORT,SOHAR,KANDLA,MT CHAMTANG
58,2019-10-30 06:40:00,2019-10-31 03:10:00,2019-10-30 06:00:00,2019-10-31 03:37:00,Oct 2019,H2,2019-20,MUNDRA,LQD,T1,192748,B01,LIQUID,CHEMICAL,METHANOL,20.5,21.62,IMPORT,3670.664,0.04,0.004,0.0,0.0,0.0,4297.36,WEST,5635.39,HANDYSIZE,AL JUBAIL,MUNDRA PORT,KARACHI,HAZIRA,MT DAEHO SUNSHINE
73,2020-01-05 14:36:00,2020-01-07 14:00:00,2020-01-03 03:00:00,2020-01-07 14:27:00,Jan 2020,H2,2019-20,MUNDRA,LQD,T1,200110,B01,LIQUID,CHEMICAL,METHANOL,47.4,107.45,IMPORT,9640.579,0.1,0.01,0.0,0.0,59.0,4881.31,WEST,,HANDYSIZE,SOHAR,MUNDRA PORT,SOHAR,MUSCAT,MT CHEM TRADER
117,2019-08-09 10:35:00,2019-08-10 11:12:00,2019-08-09 03:15:00,2019-08-10 11:45:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192048,B02,LIQUID,CHEMICAL,METHANOL,24.62,32.5,IMPORT,4000.0,0.04,0.004,0.0,6.45,0.0,3899.8,WEST,19021.0,HANDYSIZE,VARIOUS,MUNDRA PORT,NEW MANGALORE,HAMRIYA,MT CHEM MASTER
118,2019-08-09 10:35:00,2019-08-10 11:12:00,2019-08-09 03:15:00,2019-08-10 11:45:00,Aug 2019,H1,2019-20,MUNDRA,LQD,T1,192048,B02,LIQUID,CHEMICAL,METHANOL,0.0,0.0,IMPORT,2000.0,0.02,0.002,0.0,0.0,0.0,1949.9,WEST,19021.0,HANDYSIZE,VARIOUS,MUNDRA PORT,NEW MANGALORE,HAMRIYA,MT CHEM MASTER
181,2020-01-29 21:10:00,2020-02-03 23:24:00,2020-01-29 17:12:00,2020-02-28 01:42:00,Feb 2020,H2,2019-20,MUNDRA,LQD,T1,200392,B02,LIQUID,CHEMICAL,METHANOL,122.23,704.5,IMPORT,7890.676,0.08,0.008,0.0,3.3,0.0,1549.3,WEST,18821.84,HANDYSIZE,SOHAR,MUNDRA PORT,SOHAR,HAMRIYA,MT OPEC GALAXY
