,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
26,2019-07-31 17:48:00,2019-08-01 21:00:00,2019-07-31 17:18:00,2019-08-01 21:27:00,Aug 2019,H1,2019-20,MUNDRA,HPCL,T1,191994,B01,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,0.0,0.0,IMPORT,7505.66,0.08,0.008,0.0,0.0,0.0,6622.64,WEST,41445.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,GOA,MT JAG PRABHA
155,2019-05-07 01:12:00,2019-05-09 22:18:00,2019-05-07 00:30:00,2019-05-09 22:50:00,May 2019,H1,2019-20,MUNDRA,HPCL,T1,191249,B02,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,69.1,70.33,IMPORT,37765.537,0.38,0.038,0.0,0.0,0.0,13116.83,WEST,50776.0,PANAMAX VESSEL,FUJAIRAH,MUNDRA PORT,FUJAIRAH,FUJAIRAH,MT PLOUTOS
238,2019-05-22 23:54:00,2019-05-23 23:24:00,2019-05-22 23:00:00,2019-05-23 23:51:00,May 2019,H1,2019-20,MUNDRA,HPCL,T1,191372,B03,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,23.5,24.85,IMPORT,10000.0,0.1,0.01,0.0,0.0,0.0,10212.77,WEST,30423.0,HANDY MAX,SOHAR,MUNDRA PORT,SOHAR,MUNDRA PORT,MT UACC CONSENSUS
249,2019-06-06 06:48:00,2019-06-09 01:54:00,2019-06-06 06:06:00,2019-06-09 02:21:00,Jun 2019,H1,2019-20,MUNDRA,HPCL,T1,191519,B03,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,67.1,68.25,IMPORT,39864.387,0.4,0.04,0.0,0.0,0.0,14258.5,WEST,48401.0,PANAMAX VESSEL,FUJAIRAH,MUNDRA PORT,FUJAIRAH,FUJAIRAH,MT HAFNIA AFRICA
258,2019-07-06 11:30:00,2019-07-07 19:42:00,2019-07-06 10:00:00,2019-07-07 20:07:00,Jul 2019,H1,2019-20,MUNDRA,HPCL,T1,191785,B03,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,0.0,0.0,IMPORT,15934.38,0.16,0.016,0.0,0.0,0.0,11876.56,WEST,38321.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,MUMBAI PORT,MT COURAGE
263,2019-07-12 11:24:00,2019-07-13 08:06:00,2019-07-12 10:50:00,2019-07-13 08:45:00,Jul 2019,H1,2019-20,MUNDRA,HPCL,T1,191813,B03,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,0.0,0.0,IMPORT,5952.984,0.06,0.006,0.0,0.0,0.0,6902.01,WEST,42254.0,HANDY MAX,SIKA,MUNDRA PORT,MUMBAI PORT,ENNORE,MT WINDSOR
285,2019-09-13 19:06:00,2019-09-16 16:20:00,2019-09-13 18:00:00,2019-09-16 16:48:00,Sep 2019,H1,2019-20,MUNDRA,HPCL,T1,192342,B03,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,69.23,70.8,IMPORT,38635.434,0.39,0.039,0.0,0.0,0.0,13393.12,WEST,38635.434,HANDY MAX,JEBEL ALI,MUNDRA PORT,JEBEL ALI,BY ORDER,MT CSC CYANITE
299,2019-10-11 08:12:00,2019-10-13 17:42:00,2019-10-11 07:30:00,2019-10-13 18:05:00,Oct 2019,H2,2019-20,MUNDRA,HPCL,T1,192582,B03,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,57.5,58.58,IMPORT,39887.326,0.4,0.04,0.0,0.0,0.0,16648.62,WEST,43610.0,HANDY MAX,FUJAIRAH,MUNDRA PORT,FUJAIRAH,SIKA,MT ELKA DELPHI
301,2019-10-18 12:00:00,2019-10-20 06:18:00,2019-10-18 11:30:00,2019-10-20 06:45:00,Oct 2019,H2,2019-20,MUNDRA,HPCL,T1,192659,B03,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,0.0,0.0,IMPORT,19962.815,0.2,0.02,0.0,0.0,0.0,11326.42,WEST,,PANAMAX VESSEL,VADINAR,MUNDRA PORT,VADINAR,SIKA,MT JAG PUSHPA
317,2019-12-25 06:20:00,2019-12-28 08:12:00,2019-12-25 05:42:00,2019-12-28 08:35:00,Dec 2019,H2,2019-20,MUNDRA,HPCL,T1,193215,B03,LIQUID,PETROLEUM WHITE OIL,MOTOR SPIRIT,0.0,0.0,IMPORT,5000.0,0.05,0.005,0.0,0.0,0.0,1624.55,WEST,33002.0,HANDY MAX,VADINAR,MUNDRA PORT,VADINAR,VISHAKHAPATNAM,MT AGILITY
