,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
512,2019-05-01 09:15:00,2019-05-06 14:15:00,2019-05-01 08:36:00,2019-05-06 14:45:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191124,B05,DRY,PROJECT CARGO,PROJECT CARGO,125.0,126.15,EXPORT,29.213,0.0,0.0,0.0,0.0,0.0,5.61,WEST,8581.4,HANDYSIZE,MUNDRA PORT,DURBAN,NHAVA SHEVA,DURBAN,MV PIJLGRACHT
513,2019-05-01 09:15:00,2019-05-06 14:15:00,2019-05-01 08:36:00,2019-05-06 14:45:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191124,B05,DRY,PROJECT CARGO,PROJECT CARGO,0.0,0.0,EXPORT,134.671,0.0,0.0,0.0,0.0,0.0,25.86,WEST,8581.4,HANDYSIZE,MUNDRA PORT,DURBAN,NHAVA SHEVA,DURBAN,MV PIJLGRACHT
514,2019-05-01 09:15:00,2019-05-06 14:15:00,2019-05-01 08:36:00,2019-05-06 14:45:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191124,B05,DRY,PROJECT CARGO,PROJECT CARGO,0.0,0.0,EXPORT,61.383,0.0,0.0,0.0,0.0,0.0,11.79,WEST,8581.4,HANDYSIZE,MUNDRA PORT,DURBAN,NHAVA SHEVA,DURBAN,MV PIJLGRACHT
515,2019-05-01 09:15:00,2019-05-06 14:15:00,2019-05-01 08:36:00,2019-05-06 14:45:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191124,B05,DRY,PROJECT CARGO,PROJECT CARGO,0.0,0.0,EXPORT,105.05,0.0,0.0,0.0,0.0,0.0,20.17,WEST,8581.4,HANDYSIZE,MUNDRA PORT,DURBAN,NHAVA SHEVA,DURBAN,MV PIJLGRACHT
516,2019-05-01 09:15:00,2019-05-06 14:15:00,2019-05-01 08:36:00,2019-05-06 14:45:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191124,B05,DRY,PROJECT CARGO,PROJECT CARGO,0.0,0.0,EXPORT,32.512,0.0,0.0,0.0,0.0,0.0,6.24,WEST,8581.4,HANDYSIZE,MUNDRA PORT,DURBAN,NHAVA SHEVA,DURBAN,MV PIJLGRACHT
517,2019-05-01 09:15:00,2019-05-06 14:15:00,2019-05-01 08:36:00,2019-05-06 14:45:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191124,B05,DRY,PROJECT CARGO,PROJECT CARGO,0.0,0.0,EXPORT,6.78,0.0,0.0,0.0,0.0,0.0,1.3,WEST,8581.4,HANDYSIZE,MUNDRA PORT,DURBAN,NHAVA SHEVA,DURBAN,MV PIJLGRACHT
518,2019-05-01 09:15:00,2019-05-06 14:15:00,2019-05-01 08:36:00,2019-05-06 14:45:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191124,B05,DRY,PROJECT CARGO,PROJECT CARGO,0.0,0.0,EXPORT,107.192,0.0,0.0,0.0,0.0,0.0,20.58,WEST,8581.4,HANDYSIZE,MUNDRA PORT,DURBAN,NHAVA SHEVA,DURBAN,MV PIJLGRACHT
519,2019-05-01 09:15:00,2019-05-06 14:15:00,2019-05-01 08:36:00,2019-05-06 14:45:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191124,B05,DRY,PROJECT CARGO,PROJECT CARGO,0.0,0.0,EXPORT,454.0,0.0,0.0,0.0,0.0,0.0,87.17,WEST,8581.4,HANDYSIZE,MUNDRA PORT,DURBAN,NHAVA SHEVA,DURBAN,MV PIJLGRACHT
522,2019-06-20 15:05:00,2019-06-25 19:18:00,2019-06-20 14:20:00,2019-06-25 19:45:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T2,191626,B05,DRY,PROJECT CARGO,PROJECT CARGO,124.22,125.42,EXPORT,311.726,0.0,0.0,0.0,0.0,0.0,60.23,WEST,4986.0,HANDYSIZE,MUNDRA PORT,PORT SAID,DAR-ES-SALAAM,SUEZ CANAL,MV BBC DELAWARE
743,2019-08-12 13:05:00,2019-08-14 07:10:00,2019-08-12 12:30:00,2019-08-14 07:35:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192070,B06,DRY,PROJECT CARGO,PROJECT CARGO,0.0,0.0,IMPORT,806.941,0.01,0.001,0.0,0.0,0.0,460.2,WEST,7915.0,HANDYSIZE,ANTWERP,MUNDRA PORT,KANDLA,MUMBAI PORT,MV HC LARA
