,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
572,2019-11-07 18:24:00,2019-11-11 06:12:00,2019-11-07 10:48:00,2019-11-11 06:51:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T2,192771,B05,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,83.8,92.05,EXPORT,2.815,0.0,0.0,0.0,6.87,0.0,0.81,WEST,15712.0,POST PANAMAX,MUNDRA PORT,VANCOURVER,OKHA,STEWART,MV THOR BRAVE
761,2019-07-15 12:42:00,2019-07-19 01:24:00,2019-07-15 12:06:00,2019-07-19 02:00:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191867,B06,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,0.0,0.0,EXPORT,1.278,0.0,0.0,0.0,0.0,0.0,0.36,WEST,14259.0,HANDYSIZE,MUNDRA PORT,VANCOURVER,DAHEJ,SINGAPORE,MV INTERLINK TENACITY
767,2019-09-03 18:42:00,2019-09-07 07:48:00,2019-09-01 12:50:00,2019-09-07 08:18:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192247,B06,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,85.1,139.47,IMPORT,0.611,0.0,0.0,0.0,53.22,0.0,0.17,WEST,10690.0,HANDYSIZE,PORTO MARGHERA,MUNDRA PORT,PORT OF DUBAY/DUBAI,SHUAIBA,MV MAPLE LIV
774,2019-07-07 10:08:00,2019-07-11 13:45:00,2019-07-07 09:00:00,2019-07-11 14:15:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191697,B06,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,99.62,101.25,EXPORT,0.02,0.0,0.0,0.0,0.0,0.42,0.0,WEST,,HANDYSIZE,MUNDRA PORT,,BOMBAY,AD DAMMAN,MV DA DAN XIA
775,2019-07-07 10:08:00,2019-07-11 13:45:00,2019-07-07 09:00:00,2019-07-11 14:15:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191697,B06,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,0.0,0.0,EXPORT,0.001,0.0,0.0,0.0,0.0,0.0,0.0,WEST,,HANDYSIZE,MUNDRA PORT,,BOMBAY,AD DAMMAN,MV DA DAN XIA
807,2020-02-15 09:10:00,2020-02-16 21:25:00,2020-02-15 08:28:00,2020-02-16 22:00:00,Feb 2020,H2,2019-20,MUNDRA,DRY,T2,200504,B06,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,36.25,37.53,IMPORT,0.246,0.0,0.0,0.0,0.0,0.0,0.16,WEST,8397.0,HANDYSIZE,PORTO MARGHERA,MUNDRA PORT,ABU DHABI,FOR ORDER,MV MARIA CARLA
820,2020-01-04 01:30:00,2020-01-07 09:00:00,2020-01-03 23:45:00,2020-01-07 09:30:00,Jan 2020,H2,2019-20,MUNDRA,DRY,T2,200118,B06,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,79.5,81.75,EXPORT,2.036,0.0,0.0,0.0,0.0,0.75,0.61,WEST,21043.0,HANDY MAX,MUNDRA PORT,STEWART,DHARAMTAR,SINGAPORE,MV THOR FORTUNE
827,2019-12-27 07:15:00,2019-12-29 15:38:00,2019-12-27 06:00:00,2019-12-29 15:55:00,Dec 2019,H2,2019-20,MUNDRA,DRY,T2,193218,B06,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,56.38,57.92,IMPORT,0.131,0.0,0.0,0.0,0.0,0.42,0.06,WEST,10105.0,HANDYSIZE,ALGHERO,MUNDRA PORT,MINA ZAYED,SOHAR,MV RUDOLF
833,2019-11-23 17:24:00,2019-11-27 03:54:00,2019-11-21 18:48:00,2019-11-27 04:25:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T2,192978,B06,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,82.5,129.62,EXPORT,3.845,0.0,0.0,0.0,0.0,45.7,1.12,WEST,17736.0,HANDY MAX,MUNDRA PORT,VANCOURVER,PORT OF CHITTAGONG,SINGAPORE,MV THOR BREEZE
886,2019-08-04 03:00:00,2019-08-05 19:42:00,2019-08-03 19:06:00,2019-08-05 20:09:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192015,B07,DRY,BLANK COMMODITY,REPAIR/HANDLING MATERIAL,40.7,49.05,IMPORT,0.357,0.0,0.0,0.0,7.25,0.0,0.21,WEST,8190.0,HANDYSIZE,NOVOROSSIYSK,MUNDRA PORT,KARACHI,KARACHI,MV JORK
