,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
8661,2019-04-11 18:18:00,2019-04-14 08:00:00,2019-04-10 17:10:00,2019-04-14 08:47:00,Apr 2019,H1,2019-20,MUNDRA,WEST,WEST,190969,WP1,DRY,COAL,STEAM COAL,61.7,87.62,IMPORT,165000.0,1.65,0.165,0.0,23.53,0.0,64181.52,WEST,172201.0,CAPE SIZE,NACALA,MUNDRA PORT,NACALA,BY ORDER,MV BERGE MATTERHORN
8662,2019-04-02 00:26:00,2019-04-05 11:54:00,2019-04-01 07:18:00,2019-04-05 13:45:00,Apr 2019,H1,2019-20,MUNDRA,WEST,WEST,190904,WP1,DRY,COAL,STEAM COAL,83.47,102.45,IMPORT,162861.0,1.63,0.163,0.0,15.7,0.0,46829.04,WEST,166965.0,CAPE SIZE,TABONEO,MUNDRA PORT,SINGAPORE,BY ORDER,MV FRONTIER KOTOBUKI
8663,2019-04-05 14:00:00,2019-04-08 07:24:00,2019-04-05 05:18:00,2019-04-08 08:15:00,Apr 2019,H1,2019-20,MUNDRA,WEST,WEST,190922,WP1,DRY,COAL,STEAM COAL,65.4,74.95,IMPORT,188739.0,1.89,0.189,0.0,7.53,0.0,69262.02,WEST,192818.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,BY ORDER,MV CHINA ENTERPRISE
8664,2019-04-08 15:42:00,2019-04-11 15:48:00,2019-04-06 23:18:00,2019-04-11 16:43:00,Apr 2019,H1,2019-20,MUNDRA,WEST,WEST,190954,WP1,DRY,COAL,STEAM COAL,72.1,113.42,IMPORT,156500.0,1.56,0.157,0.0,39.2,0.0,52094.31,WEST,159753.0,CAPE SIZE,TABONEO,MUNDRA PORT,SINGAPORE,RICHARDS BAY,MV CAPE SATURN
8665,2019-03-29 21:36:00,2019-04-01 22:08:00,2019-03-29 01:30:00,2019-04-01 23:01:00,Apr 2019,H1,2019-20,MUNDRA,WEST,WEST,190880,WP1,DRY,COAL,STEAM COAL,72.53,93.52,IMPORT,23105.0,0.23,0.023,0.0,18.67,0.0,7645.04,WEST,171901.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,BRAZIL,MV FORTUNE VIOLET
8666,2019-04-26 06:36:00,2019-04-29 08:06:00,2019-04-26 05:12:00,2019-04-29 09:00:00,Apr 2019,H1,2019-20,MUNDRA,WEST,WEST,191105,WP1,DRY,COAL,STEAM COAL,73.5,75.8,IMPORT,167667.0,1.68,0.168,0.0,0.0,0.0,54748.41,WEST,172324.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,BY ORDER,MV CAPE HARMONY
8667,2019-04-23 03:45:00,2019-04-26 04:25:00,2019-04-22 22:12:00,2019-04-26 05:15:00,Apr 2019,H1,2019-20,MUNDRA,WEST,WEST,191098,WP1,DRY,COAL,STEAM COAL,72.67,79.05,IMPORT,163108.0,1.63,0.163,0.0,4.27,0.0,53870.53,WEST,168385.0,CAPE SIZE,ADANG BAY,MUNDRA PORT,SINGAPORE,SALDANHA BAY,MV FRONTIER ASUKA
8672,2019-05-03 13:24:00,2019-05-06 00:06:00,2019-05-03 11:54:00,2019-05-06 00:56:00,May 2019,H1,2019-20,MUNDRA,WEST,WEST,191198,WP1,DRY,COAL,STEAM COAL,58.7,61.03,IMPORT,173580.0,1.74,0.174,0.0,0.0,0.0,70969.68,WEST,178068.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,BY ORDER,MV ELIZABETH II
8673,2019-05-12 07:18:00,2019-05-15 03:00:00,2019-05-09 15:55:00,2019-05-15 03:40:00,May 2019,H1,2019-20,MUNDRA,WEST,WEST,191205,WP1,DRY,COAL,STEAM COAL,67.7,131.75,IMPORT,154027.0,1.54,0.154,0.0,61.97,0.0,54603.37,WEST,162226.0,CAPE SIZE,TABONEO,MUNDRA PORT,SINGAPORE,FUJAIRAH,MV MINERAL DRAGON
8674,2019-05-08 03:30:00,2019-05-11 12:20:00,2019-05-07 14:50:00,2019-05-11 13:10:00,May 2019,H1,2019-20,MUNDRA,WEST,WEST,191246,WP1,DRY,COAL,STEAM COAL,80.83,94.33,IMPORT,174012.0,1.74,0.174,0.0,11.2,0.0,51665.42,WEST,178103.0,SUEZMAX,TANJUNG BARA,MUNDRA PORT,SINGAPORE,PONTA DA MADEIRA,MV SHIRARA
8675,2019-05-06 02:00:00,2019-05-09 02:48:00,2019-05-05 21:54:00,2019-05-09 05:45:00,May 2019,H1,2019-20,MUNDRA,WEST,WEST,191195,WP1,DRY,COAL,STEAM COAL,72.8,79.85,IMPORT,167793.0,1.68,0.168,0.0,3.0,0.0,55316.37,WEST,168009.0,CAPE SIZE,NACALA,MUNDRA PORT,NACALA,PONTA DA MADEIRA,MV AQUAHOPE
8676,2019-05-21 15:48:00,2019-05-24 16:12:00,2019-05-21 14:20:00,2019-05-24 17:05:00,May 2019,H1,2019-20,MUNDRA,WEST,WEST,191346,WP1,DRY,COAL,STEAM COAL,72.4,74.75,IMPORT,161678.0,1.62,0.162,0.0,0.0,0.0,53594.92,WEST,,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,BY ORDER,MV C.UTOPIA
8677,2019-05-16 23:54:00,2019-05-19 05:54:00,2019-05-16 22:40:00,2019-05-21 07:51:00,May 2019,H1,2019-20,MUNDRA,WEST,WEST,191310,WP1,DRY,COAL,STEAM COAL,54.0,105.18,IMPORT,163827.0,1.64,0.164,0.0,0.0,0.0,72812.0,WEST,167543.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,SALDANHA BAY,MV ABML GRACE
8679,2019-05-25 18:18:00,2019-05-29 08:18:00,2019-05-25 17:06:00,2019-05-29 09:10:00,May 2019,H1,2019-20,MUNDRA,WEST,WEST,191390,WP1,DRY,COAL,STEAM COAL,86.0,88.07,IMPORT,164250.0,1.64,0.164,0.0,0.0,0.0,45837.21,WEST,168189.1,CAPE SIZE,TABONEO,MUNDRA PORT,SINGAPORE,PORT KAMSAR (KATOUGOUMA),MV CAPE AMANDA
8680,2019-05-31 17:24:00,2019-06-02 05:16:00,2019-05-30 08:12:00,2019-06-02 06:15:00,Jun 2019,H1,2019-20,MUNDRA,WEST,WEST,191460,WP1,DRY,COAL,STEAM COAL,35.87,70.05,IMPORT,53235.0,0.53,0.053,0.0,32.08,0.0,35621.93,WEST,74833.3,PANAMAX VESSEL,TARAKAN,MUNDRA PORT,SINGAPORE,RICHARDS BAY,MV TINA IV
8681,2019-05-31 17:24:00,2019-06-02 05:16:00,2019-05-30 08:12:00,2019-06-02 06:15:00,May 2019,H1,2019-20,MUNDRA,WEST,WEST,191460,WP1,DRY,COAL,STEAM COAL,0.0,0.0,IMPORT,20200.0,0.2,0.02,0.0,0.0,0.0,13516.73,WEST,74833.3,PANAMAX VESSEL,TARAKAN,MUNDRA PORT,SINGAPORE,RICHARDS BAY,MV TINA IV
8683,2019-06-14 23:40:00,2019-06-19 00:30:00,2019-06-12 06:24:00,2019-06-19 01:15:00,Jun 2019,H1,2019-20,MUNDRA,WEST,WEST,191539,WP1,DRY,COAL,STEAM COAL,96.83,162.85,IMPORT,190778.0,1.91,0.191,0.0,10.45,53.53,47284.05,WEST,195925.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,BY ORDER,MV HERMINE OLDENDORFF
8684,2019-06-07 17:16:00,2019-06-10 05:02:00,2019-06-07 15:50:00,2019-06-10 05:45:00,Jun 2019,H1,2019-20,MUNDRA,WEST,WEST,191529,WP1,DRY,COAL,STEAM COAL,59.77,61.92,IMPORT,165368.0,1.65,0.165,0.0,0.0,0.0,66405.44,WEST,169234.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,BY ORDER,MV CAPE PROVIDENCE
8685,2019-06-05 14:10:00,2019-06-07 08:20:00,2019-06-05 13:00:00,2019-06-07 08:57:00,Jun 2019,H1,2019-20,MUNDRA,WEST,WEST,191516,WP1,DRY,COAL,STEAM COAL,42.17,43.95,IMPORT,54650.0,0.55,0.055,0.0,0.0,0.0,31105.14,WEST,56020.0,HANDY MAX,TANJUNG BARA,MUNDRA PORT,SINGAPORE,KARACHI,MV UM ELHANAYA
8687,2019-06-10 07:12:00,2019-06-12 16:15:00,2019-06-09 02:24:00,2019-06-12 17:06:00,Jun 2019,H1,2019-20,MUNDRA,WEST,WEST,191518,WP1,DRY,COAL,STEAM COAL,0.0,0.0,IMPORT,164268.0,1.64,0.164,0.0,0.0,0.0,69104.86,WEST,165672.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,NACALA,MUNDRA PORT,MV ALICE
8688,2019-06-02 13:00:00,2019-06-05 09:06:00,2019-06-02 11:30:00,2019-06-05 19:51:00,Jun 2019,H1,2019-20,MUNDRA,WEST,WEST,191486,WP1,DRY,COAL,STEAM COAL,68.1,80.35,IMPORT,174908.0,1.75,0.175,0.0,0.0,0.42,61641.59,WEST,179589.7,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,PUERTO BOLIVAR,MV FRONTIER QUEEN
8689,2019-06-26 20:42:00,2019-06-29 17:12:00,2019-06-26 07:48:00,2019-06-29 18:03:00,Jun 2019,H1,2019-20,MUNDRA,WEST,WEST,191683,WP1,DRY,COAL,STEAM COAL,68.5,82.25,IMPORT,167396.0,1.67,0.167,0.0,11.37,0.0,58649.69,WEST,171960.0,CAPE SIZE,TANJUNG BARA,MUNDRA PORT,SINGAPORE,BY ORDER,MV ZHONG MAY
