,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
744,2019-08-16 16:48:00,2019-08-18 19:27:00,2019-08-16 16:06:00,2019-08-18 19:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192083,B06,DRY,STEEL CARGO,STEEL COILS,50.65,51.85,IMPORT,45.426,0.0,0.0,0.0,0.0,0.0,21.52,WEST,14580.88,HANDY MAX,KWANGYANG,MUNDRA PORT,MUMBAI PORT,MINA SAQR,MV MAGNUM POWER
745,2019-08-16 16:48:00,2019-08-18 19:27:00,2019-08-16 16:06:00,2019-08-18 19:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192083,B06,DRY,STEEL CARGO,STEEL COILS,0.0,0.0,IMPORT,219.301,0.0,0.0,0.0,0.0,0.0,103.91,WEST,14580.88,HANDY MAX,KWANGYANG,MUNDRA PORT,MUMBAI PORT,MINA SAQR,MV MAGNUM POWER
746,2019-08-16 16:48:00,2019-08-18 19:27:00,2019-08-16 16:06:00,2019-08-18 19:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192083,B06,DRY,STEEL CARGO,STEEL COILS,0.0,0.0,IMPORT,388.966,0.0,0.0,0.0,0.0,0.0,184.31,WEST,14580.88,HANDY MAX,KWANGYANG,MUNDRA PORT,MUMBAI PORT,MINA SAQR,MV MAGNUM POWER
747,2019-08-16 16:48:00,2019-08-18 19:27:00,2019-08-16 16:06:00,2019-08-18 19:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192083,B06,DRY,STEEL CARGO,STEEL COILS,0.0,0.0,IMPORT,215.605,0.0,0.0,0.0,0.0,0.0,102.16,WEST,14580.88,HANDY MAX,KWANGYANG,MUNDRA PORT,MUMBAI PORT,MINA SAQR,MV MAGNUM POWER
748,2019-08-16 16:48:00,2019-08-18 19:27:00,2019-08-16 16:06:00,2019-08-18 19:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192083,B06,DRY,STEEL CARGO,STEEL COILS,0.0,0.0,IMPORT,419.668,0.0,0.0,0.0,0.0,0.0,198.86,WEST,14580.88,HANDY MAX,KWANGYANG,MUNDRA PORT,MUMBAI PORT,MINA SAQR,MV MAGNUM POWER
749,2019-08-16 16:48:00,2019-08-18 19:27:00,2019-08-16 16:06:00,2019-08-18 19:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192083,B06,DRY,STEEL CARGO,STEEL COILS,0.0,0.0,IMPORT,121.474,0.0,0.0,0.0,0.0,0.0,57.56,WEST,14580.88,HANDY MAX,KWANGYANG,MUNDRA PORT,MUMBAI PORT,MINA SAQR,MV MAGNUM POWER
750,2019-08-16 16:48:00,2019-08-18 19:27:00,2019-08-16 16:06:00,2019-08-18 19:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192083,B06,DRY,STEEL CARGO,STEEL COILS,0.0,0.0,IMPORT,1268.382,0.01,0.001,0.0,0.0,0.0,601.01,WEST,14580.88,HANDY MAX,KWANGYANG,MUNDRA PORT,MUMBAI PORT,MINA SAQR,MV MAGNUM POWER
758,2019-08-03 16:50:00,2019-08-06 03:40:00,2019-08-03 16:15:00,2019-08-06 04:10:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,191992,B06,DRY,STEEL CARGO,STEEL COILS,58.83,59.92,IMPORT,23357.625,0.23,0.023,0.0,0.0,0.0,9528.32,WEST,25090.0,HANDYSIZE,POSO,MUNDRA PORT,SINGAPORE,BY ORDER,MV SEASTAR TITAN
764,2019-07-19 02:48:00,2019-07-20 00:42:00,2019-07-18 12:18:00,2019-07-20 01:15:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191870,B06,DRY,STEEL CARGO,STEEL COILS,21.9,36.95,IMPORT,1984.71,0.02,0.002,0.0,13.7,0.0,2175.02,WEST,,HANDY MAX, CHORNOMORSK,MUNDRA PORT,KARACHI,MUMBAI PORT,MV ASIAN PROMINENCE
765,2019-07-19 02:48:00,2019-07-20 00:42:00,2019-07-18 12:18:00,2019-07-20 01:15:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191870,B06,DRY,STEEL CARGO,STEEL COILS,0.0,0.0,IMPORT,2417.695,0.02,0.002,0.0,0.0,0.0,2649.53,WEST,,HANDY MAX, CHORNOMORSK,MUNDRA PORT,KARACHI,MUMBAI PORT,MV ASIAN PROMINENCE
