,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
751,2019-08-16 16:48:00,2019-08-18 19:27:00,2019-08-16 16:06:00,2019-08-18 19:57:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T2,192083,B06,DRY,STEEL CARGO,STEEL PLATES,0.0,0.0,IMPORT,4286.009,0.04,0.004,0.0,0.0,0.0,2030.88,WEST,14580.88,HANDY MAX,KWANGYANG,MUNDRA PORT,MUMBAI PORT,MINA SAQR,MV MAGNUM POWER
823,2019-12-31 20:05:00,2020-01-03 23:20:00,2019-12-31 19:38:00,2020-01-03 23:45:00,Jan 2020,H2,2019-20,MUNDRA,DRY,T2,193227,B06,DRY,STEEL CARGO,STEEL PLATES,75.25,76.12,IMPORT,9017.492,0.09,0.009,0.0,0.0,0.0,2876.01,WEST,17200.0,HANDYSIZE,ANTWERP,MUNDRA PORT,ANTWERP,JEBEL ALI,MV MYS ZHELANIYA
824,2019-12-31 20:05:00,2020-01-03 23:20:00,2019-12-31 19:38:00,2020-01-03 23:45:00,Dec 2019,H2,2019-20,MUNDRA,DRY,T2,193227,B06,DRY,STEEL CARGO,STEEL PLATES,0.0,0.0,IMPORT,143.05,0.0,0.0,0.0,0.0,0.0,45.62,WEST,17200.0,HANDYSIZE,ANTWERP,MUNDRA PORT,ANTWERP,JEBEL ALI,MV MYS ZHELANIYA
832,2019-12-15 12:36:00,2019-12-19 12:24:00,2019-12-15 08:30:00,2019-12-19 12:55:00,Dec 2019,H2,2019-20,MUNDRA,DRY,T2,193121,B06,DRY,STEEL CARGO,STEEL PLATES,0.0,0.0,EXPORT,2945.8,0.03,0.003,0.0,0.0,0.0,737.99,WEST,,HANDYSIZE,MUNDRA PORT,TUTICORIN,KATTUPALLI,TUTICORIN,MV IDM DOODLE
846,2019-09-28 12:54:00,2019-10-05 00:24:00,2019-09-27 15:48:00,2019-10-05 00:57:00,Oct 2019,H2,2019-20,MUNDRA,DRY,T2,192432,B06,DRY,STEEL CARGO,STEEL PLATES,0.0,0.0,IMPORT,191.354377598676,0.0,0.0,0.0,0.0,0.0,29.53,WEST,51921.0,HANDY MAX,PORT OF SHANGHAI,MUNDRA PORT,SINGAPORE,MUNDRA PORT,MV ASL MERCURY
847,2019-09-28 12:54:00,2019-10-05 00:24:00,2019-09-27 15:48:00,2019-10-05 00:57:00,Oct 2019,H2,2019-20,MUNDRA,DRY,T2,192432,B06,DRY,STEEL CARGO,STEEL PLATES,0.0,0.0,IMPORT,21805.8196224013,0.22,0.022,0.0,0.0,0.0,3365.53,WEST,51921.0,HANDY MAX,PORT OF SHANGHAI,MUNDRA PORT,SINGAPORE,MUNDRA PORT,MV ASL MERCURY
852,2019-09-28 12:54:00,2019-10-05 00:24:00,2019-09-27 15:48:00,2019-10-05 00:57:00,Sep 2019,H2,2019-20,MUNDRA,DRY,T2,192432,B06,DRY,STEEL CARGO,STEEL PLATES,0.0,0.0,IMPORT,86.2396224013239,0.0,0.0,0.0,0.0,0.0,13.31,WEST,51921.0,HANDY MAX,PORT OF SHANGHAI,MUNDRA PORT,SINGAPORE,MUNDRA PORT,MV ASL MERCURY
853,2019-09-28 12:54:00,2019-10-05 00:24:00,2019-09-27 15:48:00,2019-10-05 00:57:00,Sep 2019,H2,2019-20,MUNDRA,DRY,T2,192432,B06,DRY,STEEL CARGO,STEEL PLATES,0.0,0.0,IMPORT,9827.45037759868,0.1,0.01,0.0,0.0,0.0,1516.78,WEST,51921.0,HANDY MAX,PORT OF SHANGHAI,MUNDRA PORT,SINGAPORE,MUNDRA PORT,MV ASL MERCURY
860,2019-09-27 10:30:00,2019-09-28 11:36:00,2019-09-27 09:30:00,2019-09-28 12:05:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192459,B06,DRY,STEEL CARGO,STEEL PLATES,25.1,26.58,IMPORT,2734.79,0.03,0.003,0.0,0.0,0.3,2614.94,WEST,21906.0,HANDYSIZE,CIGADING,MUNDRA PORT,COCHIN,SOHAR,MV TEAM HOPE
930,2019-10-29 13:30:00,2019-11-01 07:18:00,2019-10-29 06:06:00,2019-11-01 07:53:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T2,192709,B07,DRY,STEEL CARGO,STEEL PLATES,0.0,0.0,IMPORT,4.9892733073911,0.0,0.0,0.0,0.0,0.0,1.82,WEST,21192.9,HANDY MAX,POHANG,MUNDRA PORT,MUMBAI PORT,MESAIEED,MV VISHVA VIKAS
