,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
511,2019-05-09 00:25:00,2019-05-13 00:20:00,2019-05-05 07:50:00,2019-05-13 00:50:00,May 2019,H1,2019-20,MUNDRA,DRY,T2,191244,B05,DRY,FERTILIZER,UREA,95.92,185.0,IMPORT,19936.813,0.2,0.02,0.0,86.67,1.15,4988.53,WEST,17095.0,HANDYSIZE,JEBEL ALI,MUNDRA PORT,BANDAR ABBAS,ANGRE PORT,MV HAI NAM 89
941,2019-10-03 16:09:00,2019-10-07 14:12:00,2019-09-30 09:22:00,2019-10-07 14:39:00,Oct 2019,H2,2019-20,MUNDRA,DRY,T2,192497,B07,DRY,FERTILIZER,UREA,94.05,173.28,IMPORT,14699.813,0.15,0.015,0.0,20.98,57.13,3751.15,WEST,,HANDYSIZE,SOHAR,MUNDRA PORT,SOHAR,KANDLA,MV U THAR
1287,2019-08-31 16:05:00,2019-09-04 08:06:00,2019-08-31 09:25:00,2019-09-04 08:35:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T3,192239,B10,DRY,FERTILIZER,UREA,88.02,95.17,IMPORT,41304.172,0.41,0.041,0.0,5.8,0.0,11262.64,WEST,45135.0,HANDY MAX,SUR,MUNDRA PORT,SUR,NEW MANGALORE,MV EMMANUEL C
1288,2019-08-31 16:05:00,2019-09-04 08:06:00,2019-08-31 09:25:00,2019-09-04 08:35:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192239,B10,DRY,FERTILIZER,UREA,0.0,0.0,IMPORT,2700.0,0.03,0.003,0.0,0.0,0.0,736.22,WEST,45135.0,HANDY MAX,SUR,MUNDRA PORT,SUR,NEW MANGALORE,MV EMMANUEL C
1290,2019-08-21 02:00:00,2019-08-24 18:40:00,2019-08-21 00:54:00,2019-08-24 19:15:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192138,B10,DRY,FERTILIZER,UREA,88.67,90.35,IMPORT,49513.2,0.5,0.05,0.0,0.0,0.0,13402.07,WEST,51554.3,HANDY MAX,PORT OF UST LUGA,MUNDRA PORT,SUEZ CANAL,SUEZ CANAL,MV CI YUN SHAN
1306,2019-07-12 18:18:00,2019-07-15 18:54:00,2019-07-12 17:28:00,2019-07-15 19:20:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T3,191835,B10,DRY,FERTILIZER,UREA,72.6,73.87,IMPORT,42983.223,0.43,0.043,0.0,0.0,0.0,14209.33,WEST,44316.0,HANDY MAX,SUR,MUNDRA PORT,SUR,MINA SAQR,MV SILVER LADY
1308,2019-07-08 03:10:00,2019-07-11 02:24:00,2019-07-08 02:42:00,2019-07-11 02:45:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T3,191740,B10,DRY,FERTILIZER,UREA,71.23,72.05,IMPORT,49106.274,0.49,0.049,0.0,0.0,0.0,16544.93,WEST,50280.0,HANDY MAX,"PORT OF O/P-EGYPT, NES",MUNDRA PORT,ADABIYA,DUQM,MV CAPTAIN CHERIF
1321,2019-06-16 21:36:00,2019-06-22 02:20:00,2019-06-16 09:30:00,2019-06-22 03:00:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T3,191568,B10,DRY,FERTILIZER,UREA,124.73,137.5,IMPORT,42295.15,0.42,0.042,0.0,5.88,5.5,8138.03,WEST,,HANDY MAX,SUR,MUNDRA PORT,SUR,BEDI,MV V AVOCET
1363,2020-01-01 10:55:00,2020-01-03 18:30:00,2020-01-01 02:18:00,2020-01-03 18:57:00,Jan 2020,H2,2019-20,MUNDRA,DRY,T3,200077,B10,DRY,FERTILIZER,UREA,55.58,64.65,IMPORT,47249.936,0.47,0.047,0.0,7.9,0.0,20401.77,WEST,,HANDY MAX,TUAPSE,MUNDRA PORT,SUEZ CANAL,MINA SAQR,MV KNOSSOS
1365,2020-01-11 12:12:00,2020-01-13 21:15:00,2020-01-11 11:24:00,2020-01-13 21:43:00,Jan 2020,H2,2019-20,MUNDRA,DRY,T3,200194,B10,DRY,FERTILIZER,UREA,57.05,58.32,IMPORT,53845.0,0.54,0.054,0.0,0.0,0.0,22651.71,WEST,55422.0,HANDY MAX,SOHAR,MUNDRA PORT,SOHAR,BY ORDER,MV IONIC
1367,2020-01-14 17:15:00,2020-01-17 04:12:00,2020-01-14 15:00:00,2020-01-17 04:44:00,Jan 2020,H2,2019-20,MUNDRA,DRY,T3,200186,B10,DRY,FERTILIZER,UREA,58.95,61.73,IMPORT,47996.867,0.48,0.048,0.0,0.0,1.5,19540.71,WEST,49905.0,HANDY MAX,KOTKA,MUNDRA PORT,SUEZ CANAL,BY ORDER,MV JALMA TOPIC
1372,2019-11-18 06:24:00,2019-11-21 01:12:00,2019-11-18 05:00:00,2019-11-21 01:39:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T3,192909,B10,DRY,FERTILIZER,UREA,66.8,68.65,IMPORT,54075.0,0.54,0.054,0.0,0.0,0.53,19428.14,WEST,56211.8,PANAMAX VESSEL,,,AL JUBAIL,RICHARDS BAY,MV IVS OKUDOGO
1373,2019-11-25 16:54:00,2019-11-27 16:26:00,2019-11-25 16:00:00,2019-11-27 16:52:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T3,192979,B10,DRY,FERTILIZER,UREA,47.53,48.87,IMPORT,51809.638,0.52,0.052,0.0,0.0,0.0,26159.14,WEST,53445.0,HANDY MAX,YUZHNNY,MUNDRA PORT,PORT SAID,FOR ORDER,MV GLOBAL BRAVE
1377,2019-12-29 01:45:00,2019-12-31 14:26:00,2019-12-29 01:05:00,2019-12-31 14:57:00,Dec 2019,H2,2019-20,MUNDRA,DRY,T3,193219,B10,DRY,FERTILIZER,UREA,0.0,0.0,IMPORT,68000.0,0.68,0.068,0.0,0.0,0.0,26893.71,WEST,70776.0,PANAMAX VESSEL,YUZHLYY,MUNDRA PORT,YUZHLYY,DURBAN,MV STAR SUZANNA
1378,2019-12-24 10:36:00,2019-12-26 10:00:00,2019-12-24 09:56:00,2019-12-26 10:28:00,Dec 2019,H2,2019-20,MUNDRA,DRY,T3,193198,B10,DRY,FERTILIZER,UREA,47.4,48.53,IMPORT,47250.0,0.47,0.047,0.0,0.0,0.0,23924.05,WEST,48398.0,HANDY MAX,AL JUBAIL,MUNDRA PORT,FUJAIRAH,BY ORDER,MV AFRICAN KINGFISHER
