,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
1269,2020-03-05 11:06:00,2020-03-07 04:42:00,2020-03-03 06:12:00,2020-03-07 05:07:00,Mar 2020,H2,2019-20,MUNDRA,DRY,T3,200666,B09,DRY,PULSES,YELLOW PEAS,41.6,94.92,EXPORT,13900.0,0.14,0.014,0.0,14.65,37.8,8019.23,WEST,11000.0,HANDYSIZE,MUNDRA PORT,PORT OF CHITTAGONG,MALE,KANDLA PORT,MV VTC OCEAN
1303,2019-08-01 23:16:00,2019-08-09 15:46:00,2019-07-31 15:36:00,2019-08-09 16:13:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,191966,B10,DRY,PULSES,YELLOW PEAS,184.5,216.62,IMPORT,54613.334,0.55,0.055,0.0,0.0,30.98,7104.17,WEST,67567.0,HANDY MAX,VANCOURVER,MUNDRA PORT,SINGAPORE,BY ORDER,MV LEO
1350,2019-03-26 15:18:00,2019-04-02 06:06:00,2019-03-25 07:20:00,2019-04-02 06:33:00,Apr 2019,H1,2019-20,MUNDRA,DRY,T3,190821,B10,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,-0.0529999999998836,0.0,0.0,0.0,0.0,0.0,-0.01,WEST,61240.0,POST PANAMAX,VANCOURVER,MUNDRA PORT,SINGAPORE,BY ORDER,MV KALEY
1443,2019-08-19 23:10:00,2019-08-23 17:10:00,2019-08-18 21:30:00,2019-08-23 17:37:00,Aug 2019,H1,2019-20,MUNDRA,DRY,T3,192091,B11,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,33300.0,0.33,0.033,0.0,0.0,0.0,8880.0,WEST,40949.0,HANDY MAX,VANCOURVER,MUNDRA PORT,PORT OF CHITTAGONG,SOHAR,MV AVENTICUM
1479,2019-10-29 09:30:00,2019-11-18 15:35:00,2019-10-24 18:42:00,2019-11-18 16:03:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T3,192693,B11,DRY,PULSES,YELLOW PEAS,486.08,597.35,IMPORT,35144.0,0.35,0.035,0.0,72.15,37.82,1735.21,WEST,59774.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,SINGAPORE,BY ORDER,MV KONKAR THEODOROS
1480,2019-10-29 09:30:00,2019-11-18 15:35:00,2019-10-24 18:42:00,2019-11-18 16:03:00,Oct 2019,H2,2019-20,MUNDRA,DRY,T3,192693,B11,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,22606.0,0.23,0.023,0.0,0.0,0.0,1116.15,WEST,59774.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,SINGAPORE,BY ORDER,MV KONKAR THEODOROS
1488,2019-12-19 14:54:00,2020-01-10 18:12:00,2019-12-14 03:42:00,2020-01-10 18:41:00,Jan 2020,H2,2019-20,MUNDRA,DRY,T3,193158,B11,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,13900.0,0.14,0.014,0.0,0.0,0.0,627.89,WEST,,HANDY MAX,VANCOURVER,MUNDRA PORT,SINGAPORE,JAKHAU,MV FEDERAL INDUS
1489,2019-12-19 14:54:00,2020-01-10 18:12:00,2019-12-14 03:42:00,2020-01-10 18:41:00,Jan 2020,H2,2019-20,MUNDRA,DRY,T3,193158,B11,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,36800.0,0.37,0.037,0.0,0.0,0.0,1662.34,WEST,,HANDY MAX,VANCOURVER,MUNDRA PORT,SINGAPORE,JAKHAU,MV FEDERAL INDUS
1649,2019-10-13 21:54:00,2019-10-17 20:28:00,2019-10-10 22:30:00,2019-10-17 21:00:00,Oct 2019,H2,2019-20,MUNDRA,DRY,T3,192572,B12,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,8000.0,0.08,0.008,0.0,0.0,0.0,2030.31,WEST,61675.0,PANAMAX VESSEL,VANCOURVER,MUNDRA PORT,SINGAPORE,SHARJAH,MV AQUALEO
1782,2019-09-18 13:18:00,2019-09-18 22:39:00,2019-09-18 11:00:00,2019-09-18 23:15:00,Sep 2019,H1,2019-20,MUNDRA,DRY,CT1(MICT),192162,CB1,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,275.45,0.0,0.0,0.0,0.0,0.0,707.04,WEST,,PANAMAX VESSEL,,,NHAVA SHEVA,PORT BI QASIM,MV MAERSK BROOKLYN
2765,2019-10-09 11:36:00,2019-10-09 19:00:00,2019-10-09 11:00:00,2019-10-09 19:40:00,Oct 2019,H2,2019-20,MUNDRA,DRY,CT1(MICT),192438,CB1,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,283.41,0.0,0.0,0.0,0.0,0.0,919.17,WEST,,PANAMAX VESSEL,,,NHAVA SHEVA,PORT BI QASIM,MV HANSA AMERICA
4211,2019-09-29 19:00:00,2019-09-30 12:12:00,2019-09-29 18:06:00,2019-09-30 12:55:00,Sep 2019,H1,2019-20,MUNDRA,DRY,CT2 (AMCT),192352,CB3,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,246.78,0.0,0.0,0.0,0.0,0.0,344.34,WEST,,POST PANAMAX,,,NHAVA SHEVA,KARACHI,MV CHARLOTTE SCHULTE
4344,2019-05-05 13:54:00,2019-05-06 18:45:00,2019-05-05 13:06:00,2019-05-06 19:30:00,May 2019,H1,2019-20,MUNDRA,DRY,CT2 (AMCT),191040,CB4,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,268.76,0.0,0.0,0.0,0.0,0.0,223.58,WEST,,POST PANAMAX,,,NHAVA SHEVA,JUDDAH/JIDDA,MV NINGBO EXPRESS
5587,2019-10-29 19:27:00,2019-10-30 22:42:00,2019-10-29 15:18:00,2019-10-30 23:35:00,Oct 2019,H2,2019-20,MUNDRA,DRY,CT4 (ACMTPL),192407,SB4,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,959.9,0.01,0.001,0.0,0.0,0.0,845.42,WEST,,POST PANAMAX,,,NHAVA SHEVA,DAMIETTA,MV NAGOYA EXPRESS
5755,2019-10-07 12:48:00,2019-10-08 15:00:00,2019-10-07 12:06:00,2019-10-08 15:57:00,Oct 2019,H2,2019-20,MUNDRA,DRY,CT4 (ACMTPL),192258,SB5,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,161.75,0.0,0.0,0.0,0.0,0.0,148.17,WEST,,10001 TO 14500 TEUS CONTAINER SHIP,,,NHAVA SHEVA,JUDDAH/JIDDA,MV APL LE HAVRE
6034,2019-04-08 21:18:00,2019-04-09 23:18:00,2019-04-08 20:30:00,2019-04-10 00:10:00,Apr 2019,H1,2019-20,MUNDRA,DRY,CT4 (ACMTPL),190790,SB5,DRY,PULSES,YELLOW PEAS,0.0,0.0,IMPORT,786.36,0.01,0.001,0.0,0.0,0.0,725.87,WEST,,10001 TO 14500 TEUS CONTAINER SHIP,,,NHAVA SHEVA,JUDDAH/JIDDA,MV EXPRESS ATHENS
